,Song_name,travis
44,the line is fine   ,"""Look at me I'm so disgusting I will never find another quite like you You make me blue with the things you do"", ""Now look at you you're so familiar We could be so cool together All the time could all be fine We're on the line, the line is fine"", ""Open up the window, the line is fine Standing on the ledge, oh well I don't look down Looking at the people well they all look fine"", ""It's not just life or death And yesterday we talked together But tonight it's just the weather chillin' me"", ""What's the point in silly talking We could get there quicker walking Down the line could all be fine We're on the line, the line is fine"", ""Open up the window, the line is fine Standing on the ledge, oh well I don't look down Looking at the people well they all look fine"", ""It's not just life or death But staring at the faces standing in a row Think of all the places they have yet to go They don't know"", ""Open up the window, the line is fine Standing on the ledge, oh well I don't look down Looking at the people, well they all look fine It's not just life or death, the line is fine It's not just life or death, the worst line is mine"", ""The line is fine, the line is fine The line is fine, the line is fine The line, the line, the line is fine The line is fine, oh fine"", ""Fine Fine Fine ..."""
45,radio song   ,"""Sitting on a mushroom cloud Waiting for the big fallout Wandering around the house Talking to myself out loud Now it's not cool to be proud But it's alright to get loud I hear a song It's coming on the radio Bangs like a gong And outside the night The night is gone I wanna wake you up Don't wanna play it on the phone The signal's breaking up Too late to celebrate Now I'm alone Oh I'm alone tonight Open your mouth up wide So we can park a bus inside How do you sleep at night With all of the shit you hide You're the only one who thinks it's right No wonder the bed bugs bite I love this song It's coming on the radio Bangs like a gong And outside the night The night is gone I wanna wake you up Don't wanna play it on the phone The signal's breaking up Too late to celebrate Now I'm alone Oh I'm alone tonight la la la la la la la la la la laaaaaa"""
46,dear diary   ,"""Dear diary What is wrong with me 'Cause I'm fine between the lines Be not afraid Help is on its way A sentence suspended in air Way over there"", ""Dear diary What else could it be As nightshade descends like a veil Under the sail of my heart Be still, don't stop until the end"", ""Dear diary What is wrong with me 'Cause I'm fine between the lines"""
47,beautiful   ,"""I see you girl And you look so fine And I wish I could help you Make you mine I caught your eye As you caught mine And I walked right on over And I sat right on down But when you spoke my heart sank You're beautiful Just beautiful The light is on but no one's home You're cutetiful Just beautiful Don't speak or you will break the spell I see you boy And you look so fine And I wish you could teach me If you just had some time I caught your eye As you caught mine And I walked right on over And I sat right on down But when you spoke My heart sank You're beautiful Just beautiful The light is on but no one's home You're cutetiful Just beautiful Don't speak or you will break the spell Cameras adore you Mirrors they emplore you Gentle men explore you Or you Or you You're beautiful Just beautiful The light is on but no one's home You're cutetiful Just beautiful Don't speak or you will break the spell You're beautiful Just beautiful The light is on but no one's home You're cutetiful Just beautiful Don't speak or you will break the spell The end The end The end The end The end The end"""
48,the weight   ,"""I pulled into Nazareth, was feelin' 'bout half past dead I just need some place where I can lay my head \""Hey, mister, can you tell me where a man might find a bed?\"" He just grinned and shook my hand, and \""No\"" was all he said"", ""Take a load off Fanny Take a load for free Take a load off Fanny And (and) (and) you can put the load right on me"", ""Picked up my bag, went lookin' for a place to hide When I saw Carmen and the Devil walkin' side by side"", ""She said, \""I gotta go, but m'friend can stick around\"""", ""Take a load off Fanny Take a load for free Take a load off Fanny And (and) (and) you can put the load right on me"", ""Go down, Miss Moses, there's nothin' you can say It's just old Luke, and Luke's waitin' on the Judgement Day \""Well Luke, my friend, what about young Anna Lee?\"""", "" Take a load off Fanny Take a load for free Take a load off Fanny And (and) (and) you can put the load right on me"", ""Crazy Chester followed me, and he caught me in the fog He said, \""I will fix your rack, if you'll take Jack, my dog\"" I said, \""Wait a minute, Chester, I'm a peaceful man\"" He said, \""That's OK, just feed him when you can\"""", ""Take a load off Fanny Take a load for free Take a load off Fanny And (and) (and) you can put the load right on me"", ""Catch a cannon ball now, to take me down the line My bag is sinking low and I do believe it's time To get back to Miss Fanny, you know she's the only one Who sent me here with her regards for everyone"", ""Take a load off Fanny Take a load for free Take a load off Fanny And (and) (and) you can put the load right on me"""
49,all i want to do is rock   ,"""Hey I would really like to talk with you Girl Do you have the time to stop? Say All I wanna do is rock If this was any other day I'd turn and walk the other way But today I'll stay Not walk away"", ""Hey I'm a foot without a sock without you Love You seem to work around the clock Say All I wanna do is rock If this was any other day I'd turn and walk the other way But today I'll stay Not walk Just rock"", ""Hey! Love! Say All I wanna do is rock If this was any other day I'd turn and walk the other way But today I'll stay OK"""
50,the tail of the tiger   ,"""Get out of bed while there's a reason Stand in the sun while there's a season Hold me again just like you mean it Tell all your friends just how you're feelin'"", ""But you hold back the tears feel like a liar Covering all of your fears all your desire Finding your touching the tail of the tiger Out in the dark"", ""Looks like the wheels just keep on spinning So pour me a drink while we are winning Up at the top they won't forget you Don't ever stop they're out to get you But you hold back the tears feel like a liar Covering all of your fears all your desire"", ""Finding your touching the tail of the tiger Out in the dark"", ""It's so far between each star So far And it's so dark between each spark So dark"", ""But you hold back the tears feel like a liar Covering all of your fears all your desire Finding your touching the tail of the tiger Out in the dark"""
51,me beside you   ,"""Dearest darling, look at me Stuck (a)way up on an old oak tree Looking down and as far as I can see... (a nice deep breath taken) Dearest darling, look inside Come with me and we'll walk for a while And I'll define with you beside Me beside you beside no one else will do besides"", ""Dearest darling when we wake up Don't be cold and turn away, love Cos there's nowhere that I'd rather be Me beside you beside no where else I'd be besides"", ""Dearest darling time will tell us If we'll fill up our empty wells But until then we're by ourselves Me beside you beside no one else will do Beside me beside you besides no one else will do"""
52,i love you anyways   ,"""You were on my mind Inside the cinema You looked so beautiful I almost had to go And when I got outside I thought of you again I think you should be framed In some Fine Art gallery I know you'd disagree with me But I love you anyways And should I climb high my Dreary city walls They make me feel so small Oh let me fade away This city's so cold & old Forever rain or snow"", ""Oh won't you go stay with me I know you'd disagree with me I just know you'd disagree But I love you anyways You were on my mind Inside the cinema You looked so beautiful I almost dried an eye And when I got outside I caught the 44 It dropped me outside my front door Forgot what I'd been living for"""
53,high as a kite   ,"""I'm high high high as a kite I'm high high high as a kite And I just might try and do it tonight But only when the time is right"", ""I'm low low low as you go I'm low though I've been here before If I go any lower you know I'm gonna tell you that the time is right"", ""I thought today the grey would all go away That the blue was there so roses were red But instead the red has gone to his bed Oh no"", ""I'm high high high as a kite I'm high high high as a kite And I just might try and do it tonight But only when the time is right"", ""Yeah I just might try and do it tonight But only when the time is right"""
54,ancient train   ,"""Written by Andy Dunlop"", ""I'm a little boy In the world today Trying to live his life In a grown up way Sometimes I get so scared That I can hardly move But I'm a little boy With a lot to prove Somedays go by so fast Sometimes I wonder How long will this young boy last? Now I'm an ancient train Going down the track I always make my way Never turning back Because my wheels are old Sometimes I ride real slow But I'm an ancient train With a place to go I used to ride so fast Sometimes I wonder How long will this old train last? Sometimes the song goes fast Sometimes I wonder How long will this old song last?"""
55,driftwood   ,"""Everything is open Nothing is set in stone Rivers turn to ocean Oceans tide you home Home is where the heart is But your heart had to roam Drifting over bridges Never to return Watching bridges burn"", ""You're driftwood, floating underwater Breaking into pieces, pieces, pieces Just driftwood, hollow and of no use Waterfalls will find you, bind you, grind you"", ""Nobody is an island Everyone has to go Pillars turn to butter Butterflying low Low is where your heart is But your heart has to grow Drifting under bridges Never with the flow"", ""And you really didn't think it would happen But it really is the end of the line So I'm sorry that you turned to driftwood But you've been drifting for a long, long time"", ""Everywhere there's trouble Nowhere's safe to go Pushes turn to shovels Shoveling the snow Frozen, you have chosen The path you wish to go Drifting now forever And forever more Until you reach your shore"", ""You're driftwood, floating underwater Breaking into pieces, pieces, pieces Just driftwood, hollow and of no use Waterfalls will find you, bind you, grind you"", ""And you really didn't think it would happen But it really is the end of the line So I'm sorry that you turned to driftwood But you've been drifting for a long, long time You've been drifting for a long, long time You've been drifting for a long, long Drifting for a long, long time"""
56,paralysed   ,"""Looking at my window I can see the light All the pretty people Turning inside out Watching television every single night And when you twitter your opinion Oh it feels so right"", ""Wanna run wanna run but I'm paralysed And the river running through me Is as cold as ice It's alright it's alright till you realise That every memory is like a Wieght around your feet"", ""But I'm still looking at the window Trying to be someone All the pretty people Eyes like valium Preening for the screen like a Kardashian And do you ever get the feeling You're the only one"", ""Wanna run wanna run but I'm paralysed And the river running through me Is as cold as ice It's alright it's alright till you realise That every memory is like a Wieght around your feet It goes around around Like dirty laundry Spins around round We are never free But I Will rise I will rise Look you in the eye And remember how it feels to be alive When we were free Not paralysed Apparently paralysed Apparently paralysed Apparently paralysed"""
57,idlewild   ,"""It was upon row of houses Tight skirts and baggy trousers Green men and cheap disguises High hopes and higher rises Who lived a girl who was on a mission Who lived a boy who was under suspicion Tried hard to stay beside her Until the devil put his seed inside her"", ""How? You know how Speak[?] to love and the sand runs out So close to midnight Time to fly Do or die Stung in the headlights"", ""Here we lie High and dry The world will never see you 'till you open your eyes Say goodnight Kill the light The world will never hear you tonight Idlewild"", ""For two years he tried to reach her Worshiped the ground beneath her She, she was always running He, he saw the end was coming But now the story takes a turn She wakes up and her sheets are burning Head down against the fire Now, now, now the table turns"", ""She won't learn Sleep to love and your bed starts burning So close to midnight Idlewild you don't know You never need to"", ""Here we lie High and dry The world will never see you 'till you open your eyes Say goodnight Kill the light The world will never hear you tonight Idlewild Idlewild"", ""I thought that we were good together I thought that we could weather the weather Whether or not that wise is the word for us That high hopes are only there because, because Because I thought the only thing between us Was something shallow not a river so deep (we see us) Dredge up the wreckage our parents left us Lay it on the banks to rot and fester Now it's scarlet and I hanging like a death star And Gretna Green dark and Manchester I don't want to hear it now"", ""Here we lie High and dry The world will never see you 'till you open your eyes Say goodnight, kill the light The world will never hear you tonight Idlewild Idlewild Kill the light Idlewild"""
58,know nothing   ,"""Everything that you know is as wrong as the next So you hold on to something and hope for the best And you know that it's right 'til you find that it's left And I'm doing the same and I have to confess"", ""That I know nothing I never knew that there'd be nothing and no one to show you the way I know nothing When all I do is make it through to the end of the day"", ""All my senses are pushing the whole other way I can't see where to look now what's that that you say? It's a beautiful world it's a beautiful day And I wish I could say if I was feeling the same"", ""When I know nothing I never knew that there'd be nothing and no one to show you the way I know nothing I need an Obi-wan to tell me if I've gone astray"", ""And I wish it was clearer to see If you are what you're made out to be But there's no guarantee if you're you and I'm me And there never will be, 'til I can see what you see"", ""When I know nothing I never knew that there'd be nothing and no one to show you the way I know nothing When all I do is make it through to the end of the day"", ""I know nothing I never knew that there'd be nothing and no one to show you the way I know nothing When all I do is make it through to the end of the day"", ""When I know nothing I never knew that there'd be Know nothing I never knew that there'd be"""
59,why does it always rain on me   ,"""I can't sleep tonight Everybody's saying everything is alright Still I can't close my eyes I'm seeing a tunnel at the end of all these lights"", ""Sunny days Where have you gone? I get the strangest feeling you belong"", ""Why does it always rain on me? Is it because I lied when I was seventeen? Why does it always rain on me? Even when the sun is shining I can't avoid the lightning"", ""I can't stand myself I'm being held up by invisible men Still life on a shelf when I got my mind on something else"", ""Sunny days Oh where have you gone? I get the strangest feeling you belong"", ""Why does it always rain on me? Is it because I lied when I was seventeen? Why does it always rain on me? Even when the sun is shining I can't avoid the lightning"", ""Oh where did the blue sky go? Why is it raining so? It's so cold"", ""I can't sleep tonight Everybody's saying everything is alright Still I can't close my eyes I'm seeing a tunnel at the end of all these lights"", ""Sunny days Oh where have you gone? I get the strangest feeling you belong"", ""Why does it always rain on me? Is it because I lied when I was seventeen? Why does it always rain on me? Even when the sun is shining I can't avoid the lightning Oh where did the blue sky go? And why is it raining so? It's so cold"", ""Why does it always rain on me? Is it because I lied when I was seventeen? Why does it always rain on me? Even when the sun is shining I can't avoid the lightning Why does it always rain on me? Why does it always rain on... on"""
60,google search engine   ,"""google..google..google(for the whole song in the backround) googles the website you should use to look up things that you want to pictures to movies they got it all with a real good working fire wall"", ""yeah google yeah google"", ""they show you imformation about a movie star or peoples adresses no matter who you are family trees from when you wish they gather info from other web pages"""
61,the urge for going   ,"""I woke up today and found snow perched on the ground It hovered in a frozen sky and gobbled summer down So when the leaves were trembling Frozen trees were standing in a lonely row"", ""I get the urge for going but I never seem to go And I get the urge for going when the meadow grass is turning brown And summertime is falling down and winter's moving in"", ""I had a love in summertime with summer-colored skin And not another one in town my darling's heart could win But when the sky turned traitor cold And bully winds did rub their noses in the snow"", ""She got the urge for going and I had to let her go And she got the urge for going when the meadow grass was turning brown Summertime was falling down and winter's moving in"", ""The warriors of winter gave a cold triumphant shout Now all that dies is staying and all that lives is getting out See the geese in chevron flight Flurrying and flapping through the naked sky"", ""They got the urge for going They've got the wings to fly They get the urge for going when the meadow grass is turning brown And summertime is falling down and winter's moving in"", ""I'll ply the fire with kindling and pull the blankets to my chin I'll lock the vagrant winter out and bolt my wandering in I'd like to call back summertime And ask her just to stay another month or so"", ""But she got the urge for going I guess she'll have to go And she got the urge for going when the meadow grass was turning brown Summertime is falling down and winter's moving in And she got the urge for going when the meadow grass was turning brown All my empires are fallen down and winter's moving in"""
62,life and soul of the party   ,"""There's a man who Lives by the sea He takes his daydreams Very seriously"", ""You'll never see him He lives all alone He won't go out or Pick up the phone"", ""But he wishes he Was the life and the soul of the party But he can't 'cause he Doesn't know anyone, anybody Is it me? Is it me? Am I singing a song about me?"", ""Tension rising Day by day The kids don't like him His dog ran away"", ""Still he wishes he Was the life and the soul of the party But he can't 'cause he Doesn't know anyone, anybody Is it me? Is it me? Am I singing a song about me?"", ""Silence is golden The church bells are tolling He closes his eyes one last time, time He dreams is he popular Jokes are spectacular Everyone laughs And they all raise their glasses to him"", ""And he loves them And they love him back"", ""'cause he wishes he Was the life and the soulf ot he party But he can't 'cause he Doesn't know anyone, anybody Is it me? Is it me? Am I singing a song about me?"", ""? Lost at sea All alone On his own Lies the life and the soul of the party"""
63,only molly knows   ,"""When the day is done Oh Molly Molly Will I be the one"", ""When the day is through Oh Molly Molly Will I be with you"", ""Tell me what to do Oh Molly Molly Let me follow through"", ""'Cos I am lost at sea Oh Molly Molly Haven't got a clue"", ""All I have to show For all the years below Only Molly knows"", ""When the lights go down Oh Molly Molly Will you be around"", ""When the lights are gone Oh Molly Molly Will you leave the town"", ""Tell me what is wrong Oh Molly Molly Let me sing a song"", ""'Cos I have lost the will Oh Molly Molly Cannot carry on"", ""All I have to show For all the years below Only Molly knows"", ""When the day is done Oh Molly Molly Will I be the one"", ""When the day is through Oh Molly Molly Will I be with you"", ""Tell me what to do Oh Molly Molly Let me follow through"", ""Where are we to be tomorrow Molly Haven't got a clue"", ""All I have to show For all the years below Only Molly knows"""
64,kissing in the wind   ,"""You're only happy when you're dreaming Dreaming Dreaming 'bout nothing much The windowsill is still you're breathing Breathing And when there's no-one around You feel like dying You leave your feet on the ground And your head is flying"", ""So take me down when you wanna go down Any avenue Be my love at the back of your car Pulling down the roof Be the change in my holey pocket Falling down the drain Wake me up when you wanna get off Kissing in the wind"", ""You used to walk around for hours Talking Talking about nothing much All of the screaming and the shouting Out in Out in the back of beyond The walls of houses You wouldn't leave it alone The only doubt is"", ""So take me down when you wanna go down Any avenue Be my love at the back of your car Pulling down the roof Be the change in my holey pocket Falling down the drain Wake me up when you wanna get off Kissing in the wind"", ""So take me down when you wanna go down Any avenue Be my love at the back of your car Pulling down the roof Be the change in my holey pocket Falling down the drain Wake me up when you wanna get off"", ""Kissing in the wind Kissing in the wind Kissing in the wind"", ""You're only happy when you're dreaming Dreaming Dreaming 'bout nothing much"""
65,long way down   ,"""It's a long way down Above the two tone town And it's no funny when you're stuck in the middle I'm coming up for air I could be anywhere It makes no difference when you live in a puddle Now that I see it How can I breath When my heart's in my mouth And not on my sleeve Better run little rabbit Back to your hole in the ground It's a long way down It's a long way down The people look so small Sliding off the wall Getting dizzy as the fall in the gutter I watch the seagull Swooping past the steeple Crying for his dinner as he shits on the sinners Now that I see it How can I breathe When my heart's in my mouth Instead of my sleeve Better run little rabbit Back to your hole in the ground It's a long way down Mama An eye for an eye You'd say you'd never take a side Papa I'm too young to die They're never taking me They're never taking me alive They're never taking me alive They're never taking me alive"""
66,the ballad of j smith   ,"""He watched the shadows On the walls of his room And the silence will speak too soon And he held her tightly So tight he could tell He knew the feeling so well"", ""He said \""Pretty baby will you marry me?\"" She said \""You'd look shit upon my family tree\"" And that's when he realised he'd have to start again And just when you think you've got it figured out They light seven candles and you're blowing them out You know that you're going to have to light them all again"", ""You see her turning night into day And the broken television display And I know you're hurting But tonight I can pray Cos you've got to think for yourself"", ""Lie down everyone Close your eyes and look for the sun Even they don't know where it's gone Reminiscing of days when you knew that you belong"", ""He said \""Pretty baby will you marry me?\"" She said \""You'd look shit upon my family tree\"" And that's when he realised he'd have to start again And just when you think you've got it figured out They light seven candles and you're blowing them out You know that you're going to have to light them all again"""
67,give me some truth   ,"""by John Lennon"", ""I'm sick & tired of hearing things From uptight, short-sighted, narrow-minded All I want is the truth Just give me some truth I've had enough of reading things By neurotic, psychotic pig-headed politicians All I want is the truth Just give me some truth"", ""No short-haired, yellow-bellied son-of-tricky-dicky's Gonna mother hubbard soft soap me with just a bundle of hope It's money for dope Money for rope"", ""No short-haired, yellow-bellied son-of-tricky-dicky's Gonna mother hubbard soft soap me with just a bucket of soap It's money for dope Money for rope I'm sick to death of seeing things From tight-lipped, condescending, mother's little chauvinists All I want is the truth Just give me some truth I've had enough of watching scenes With schizophrenic, egocentric, paranoiac prima donnas All I want is the truth Just give me some truth No short-haired, yellow-bellied son-of-tricky-dicky's Gonna mother hubbard soft soap me with just a bucket of soap It's money for dope Money for rope"", ""Repeat 1st & 2nd verses"""
68,selfish jean   ,"""Cheers Thanks for everything You hung me up by my heart You're just so selfish Jean Yes you are Hey you Threw it all away By holding everything in Hey Jean don't rock the boat When you can't swim"", ""Well a perfect understanding of the finer things in life A quite alarming knack of knowing when to twist the knife Ahhh-ahhh selfish Jean"", ""Here's to you Who had everything And left it out on the shelf There's no-one else to blame Except yourself"", ""Well a perfect combination of good etiquette and charm You keep the chocolate biscuits wired to a car alarm Ahhh-ahhh selfish Jean"", ""But I'm standing on my own And this house is not a home It's sad to see you go Things are high Things are low And it's good to know you know If you got no where to go Well you could spend the night with me There will be no guarantee that I'll be here In the morning Or any time that you call I hear you snoring Jean Through the wall"", ""So hey Here's to everything To peace and love in our time Ah Jean the slate is clean I guess we're fine"", ""Well I don't expect a miracle I'm not asking you to change If you can't see me happy well just look the other way Ahhh-ahhh selfish Jean Ahhh-ahhh selfish Jean Jean"""
69,boxes   ,"""When everything, when everything was out of reach The sky was up, the ground was right below our feet We played in boxes, we played in boxes Cardboard boxes We played in boxes, we played in boxes Cardboard boxes We wasted time, we wasted time before we knew Don't punch the clock or time will run away with you We live in boxes, we live in boxes Concrete boxes We live in boxes, we live in boxes Concrete boxes And now your childhood is over You're a man they have said You silently shoulder all the plans they have made You pack down your boxes and ask Who am I? The biggest trick, the biggest trick they play on you To make you think the show won't go on without you We go in boxes, we go in boxes Wooden boss We go in boxes, we go in boxes Wooden boxes And now the room has been emptied I'm alone in my bed The heart is a box which the soul has fled The spell has been broken and the last word is said"""
70,the humpty dumpty love song   ,"""All of the king's horses and all of the king's men Couldn't pull my heart back together again All of the physicians and mathematicians too Failed to stop my heart from breaking in two"", ""'Cause all I need is you I just need you Yeah you got the glue So I'm gonna give my heart to you"", ""I had a premonition a movie in my mind Confirming my suspicions of what I would find It followed me to LA down to Mexico Came in through the back door at the start of the show"", ""Still all I need is you I just need you Yeah you got the glue So I'm gonna give my heart to you"", ""Oh was a perfect day Oh in a perfect way You know something had to go You left me high You left me low"", ""Now as I lie in pieces and wait for your return The sun upon my forehead it burns baby burns baby burns An eye on all my horses you've slept with all my men I'm never gonna get it together again"", ""Still all I need is you I just need you Yeah you got the glue So I'm gonna give my heart to you Yeah you got the glue And there's nothing I can do Yeah you got the glue So I'm gonna give my heart to you"""
71,just the faces change   ,"""I look around for faces I know I never ever want to go home My friends are in bed but I'm best on my own I'm terrified of driving a car Afraid I'm afraid of the dark But it happened before in a different bar And I know it's late but won't you take me home I must have thought of getting out now But how am I gonna get out When even the names stay the same Just the faces change"", ""It's easier to stare at the sun Than look at all the things that you've done Intentions were good but so was the fun And you know it's wrong it can't go on for long I must have thought of getting out now But how am I going to get out When even the names stay the same Just the faces change Just the faces change"", ""I must have thought of getting out now But how am I going to get out When even the names stay the same Just the faces change Just the faces change"""
72,sing   ,"""Baby You've been going so crazy Lately Nothing seems to be going right"", ""So low Why do you have to get so low You're so"", ""You've been waiting in the sun too long But if you sing, sing Sing, sing, sing, sing For the love you bring Won't"", ""Mean a thing Unless you sing Sing, sing, sing"", ""Colder Crying on your shoulder Hold her"", ""And tell her everything's gonna be fine Surely You've been going too early Hurry 'cos no one's gonna be stopped Na na na na na But if you sing Sing, sing, sing, sing For the love you bring Won't Mean a thing Unless you sing Sing, sing, sing, sing, sing Baby There's something going on today But I say Nothing, nothing, nothing, nothing Nothing, nothing, nothing, nothing It's all na na na na na But if you sing Sing, sing, sing, sing For the love you bring Won't Mean a thing Unless you sing Sing, sing, sing, sign Ohh baby sing Sing, sing, sing, sing For the love you bring Won't Mean a thing Unless you sing Sing, sing, sing"""
73,happy to hang around   ,"""They were following me They were following everyone They had visions of me Holding hands walking in to the sun? Now people get down People get down, people get hurt When you did it to me I was already in the ground"", ""And I'll never get into your heart Though I don't even want to start I'll never get into your heart I'm just happy to hang around Happy to hang around Happy to hang around"", ""Take a picture of me And show it to everyone And no more pictures of you No more love, no more setting sun Now people get down People get down, people get hurt And when you did it to me I was already in the dirt"", ""And I'll never get into your heart Though I don't even want to start I'll never get into your heart I'm just happy to hang around Happy to hang around Happy to hang around"", ""And I'll never get into your heart Though I don't even want to start I'll never get into your heart I'm just happy to hang around Happy to hang around Happy to hang around"""
74,enemy   ,"""A Little Piece, of everything Thats ever been or will Is shining for you still Look up"", ""Start from start, and try again To see it through the smoke And the mirrors that you've broke For love"", ""(Chorus)"", ""And it feels like something just stole my spirit Snook up on me when i couldnt hear it But i can see the enemy Hes done alright for me And somwhere inside of me i can see My enemy"", ""Pick a window, Pick a sight Its just a choice you make Another little break In us Time and time, and time again You see it through the cracks Bitter words you like Is enough"", ""(Chorus) (guitar solo)"", ""But i can see the enemy Hes done alright for me And somwhere inside of me i can see My enemy"""
75,blue flashing light   ,"""Saturday evening... Saturday evening A quarter to five Oh I would see him arrive at the door Pushed you aside as he staggered inside Spitting alcohol over the floor A storm is a-brew And it's sure to fall soon As I look at you from the shore"", ""So you'd better hold on Cos it's Saturday night And your friends are all out And you feel like shit Cos they never call you No they never call you No they never call, never call, never bloody ever ..."", ""Call me a name and I'll hit you again You're a slut, you're a bitch, you're a whore Talk to your daddy in that tone of voice There's a belt hanging over the door So you run to your room and you hide in your room Thinking how you can settle the score"", ""But it's Saturday night and a quarter to six And your friends are all out But you live in the sticks Still they never call you No they never call you No they never call, never call, never bloody ever call"", ""Blue flashing light last Saturday night Brought the neighbours all out on the street Watched as the firemen carried you out Then we stared at each other's feet Now everyone sees and yet nobody says Are we all just afraid of the heat?"", ""But it's Saturday night and I'm lying alone In the bed that I made, disconnected the phone Still they never called you No they never called you No they never call, never call, never bloody ever call"""
76,something anything   ,"""Like a melody that is impossible to play, I wait In my memory there's a part of you that's gone away, yeah To keep my mind from wondering I'm wondering to keep myself on falling in I'm following"", ""Something Anything just to keep believing Just to keep on breathing for a moment longer Something Anything just to keep believing Just to keep on breathing for a moment longer"", ""I'd tell you anything if i had anything to say, yeah i keep it bottled in 'cause there's a time and there's a place for this, yeah i keep my story where it is an act as if I don't even know what it is when all i need is"", ""Something Anything just to keep believing Just to keep on breathing for a moment longer Something Anything just to keep believing Just to keep on breathing for a moment longer"", "" Something Anything just to keep believing Just to keep on breathing for a moment longer Something Anything just to keep believing Just to keep on breathing for a moment longer"", ""ehh"""
77,everything at once   ,"""You can't do everything at once but you can do anything you want Your autonomy can't be brought into question by anything 'Til you've turned around and say that every year is like a day And you have given it away You give it all away, you give it"", ""And now everything at once becomes the only thing that you want You're a defeated man and your plans will not be executed And the life that you believed you'd lead is starting to recede And you have given it away Give it all away, you give it away"", ""When enough is enough and it's all too much for anyone When you're out on your own, everybody's alone When you push and you shove and you gotta keep the pressure on All you need is some love and a way to get home"", ""You can't do everything at once but when you try to ... When all the others come running until you're busy doing nothing And another day is dawning as another setting sun And you have given it away Give it all away, you give it away"", ""When enough is enough and it's all too much for anyone When you're out on your own, everybody's alone When you push and you shove and you gotta keep the pressure on All you need is some love and a way to get home"", ""And I want to be us, I don't want to be them And I want to be now, I don't want to be then And I want to be real, I don't want to pretend And I want to begin, I don't want it to end And I want it to start, I don't want it to break And I want it to mend, I don't wanna be fake And I wanted to give, want to give it away Want to give it away, want to give it away"", ""Everything at once but you can't do anything you want Your autonomy can't be brought into question by anything 'Til you've turned around and say that every year is like a day And you have given it away Give it all away, you give it away"", ""When enough is enough and it's all too much for anyone When you're out on your own, everybody's alone When you push and you shove and you gotta keep the pressure on All you need is some love and a way to get home"""
78,chinese blues   ,"""The snow was falling on his shoulders by the side of the road And he watched as the sun went down Falling on the building Swallowing the children It's the gun in your back It's the heart attack It's the way you look back before you step out In time to see the number of the bus that's running you down A million lonely people with their head in the sand Trying to make some sense of what they don't understand Waiting on somebody just to give them a hand You're designed to fall apart on the day the warrenty ends And you try but you just can't stop Running round in circles Knocking over hurdles It's the knife in your back It's the heart attack It's the way you look back before you step out In time to see the shadow of the one that's cutting you down OH The snow was falling on his shoulders by the side of the road And he watched as the lights came on below And the children were sleeping And the women were weeping There was nobody keeping him here"""
79,good time girls   ,"""It's another summer holiday We go looking out for the good time girls Good time girls smarter than normal girls Good time girls drinking and taking pills Good time girls having a good time"", ""Sit in the sun drinking expensive wine Good time girls I want to be with you Pick me up when I am feeling blue"", ""It's another summer holiday We go looking down for the good time girls Good time girls smarter than normal girls Good time girls straight hair and hair that curls Good time girls having a good time Sit in the sun drinking electric wine Good time girls will you come out with me Making me happy bringing me cups of tea (ha!) Oh yes Good time girls having a good time etc..."""
80,flowers in the window   ,"""When I first held you I was cold A melting snowman I was told But there was no one there to hold Before I swore that I would be alone for ever more"", ""Wow look at you now, flowers in the window It's such a lovely day And I'm glad you feel the same 'Cause to stand up out in the crowd You are one in a million And I love you so Let's watch the flowers grow"", ""There is no reason to feel bad But there are many seasons to feel bad sad mad It's just a bunch of feelings that we have to hold But I am here to help you with the load"", ""Wow look at you now, flowers in the window It's such a lovely day And I'm glad you feel the same 'Cause to stand up out in the crowd You are one in a million And I love you so let's watch the flowers grow"", ""So now we're here and now is fine So far away from there and there is time time time To plant new seeds and watch them grow So there'll be flowers in the window when we go"", ""Wow look at us now, flowers in the window It's such a lovely day And I'm glad you feel the same 'Cause to stand up out in the crowd You are one in a million And I love you so let's watch the flowers grow Oh wow look at you now, flowers in the window It's such a lovely day And I'm glad you feel the same 'Cause to stand up out in the crowd You are one in a million And I love you so let's watch the flowers grow, grow"", ""Let's watch the flowers grow"""
81,friends   ,"""Who cheers you up When you are down Who brings you cups of coffee Who picks you up When you're in town Whatever makes you happy And I'm glad you're better now But I'm sad you're not around Friends Will never desert you Or turn against Friends Won't love you and leave you To mend the fence"", ""ooohhh... ooohhh..."", ""Who wakes you up When you're late for work Who makes the bed so lovely Who found your sock Who picked your shirt Whatever makes you love me And I'm glad I'm better now But I'm sad you're not around Friends Will never desert you Or turn against Friends Won't love you and leave you To mend the fence"", ""ooohhh... ooohhh..."", ""Friends Will never desert you Or turn against Friends Won't love you and leave you To mend the fence"", ""Friends Will never decieve you and turn against Friends Won't love you and leave you To mend the fence"", ""ooohhh..."""
82,where is the love   ,
