,Song_name,pink
34,this is how it goes down   ,"""I hear my name I hear the trash you're talking In your sleep The secrets that you're keeping A chick this smart Did you really think that you could keep her in the dark?"", ""Does she purr? Does she make it hard? Hard to speak Does she dress the part? I'm sure she'll take some getting used to Darlin, she won't ever be me"", ""I felt the bite Take a spit Suck the poison out of me I'll make you beg Make you come To your senses If you keep up the sh** Take the hit Dig the grave This is how it goes down This is how it goes down"", ""Gonna run Gonna scream Gonna crawl down on your knees When you realize that no one's gonna measure up to me Doesn't matter cause I'm over it now This is how it goes down This is how it goes down"", ""I'm gonna rage Stay out really late I'm gonna hang with all my friends you hate I may try that threesome Better late than never and Better without you"", ""This is your future as I see it You will be homeless, poor, and broken She will have left you when she finds out who you are You're nothing but an extra, and baby I'm the star"", ""I felt the bite Take a spit Suck the poison out of me I'll make you beg Make you come To your senses If you keep up the sh** Take the hit Dig the grave This is how it goes down This is how it goes down"", ""Gonna run Gonna scream Gonna crawl down on your knees When you realize that no one's gonna measure up to me Doesn't matter cause I'm over it now This is how it goes down This is how it goes down"", ""(Travis McCoy Rap Bridge) I suppose this is how the story goes, but Ever since that door closed, I've been going down, down, down, down The drain and the pain got me nauseous I should have been more cautious or clever Whatever, you'll never find a dude with a better headgame, and You can take that both ways You laughin' like I'm playin' wit your fingers up like oh? You wouldn't have a threesome without me I'd pull an O. G. And text you some incriminating pictures from my old days"", ""I felt the bite Take a spit Suck the poison out of me I'll make you beg Make you come To your senses If you keep up the shit Take the hit Dig the grave This is how it goes down This is how it goes down"", ""Gonna run Gonna scream Gonna crawl round on your knees When you realize that no one's gonna measure up to me Doesn't matter cause I'm over it now This is how it goes down This is how it goes down"", ""Somebody done lied to you Cause you're not such a bigshot dude Might wanna rethink it through Coulda asked me, I woulda told you the truth"", ""Somebody done lied to you Cause you're not such a bigshot dude Might wanna rethink it through Shoulda asked me, I woulda told you the truth"""
35,stupid girls   ,"""Stupid girl Stupid girls Stupid girls"", ""Maybe if I act like that That guy will call me back Porno paparazzi girls I don't wanna be a stupid girl"", ""Go to Fred Segal, you'll find them there Laughing loud, so all the little people stare Looking for a daddy, to pay for the champagne Droppin' names"", ""What happened to the dream of a girl president? She's dancing in the video next to 50 Cent They travel in packs of two and three With their itsy bitsy doggies, and their teeny-weeny tees"", ""Where, oh where, have the smart people gone? Where, oh where could they be?"", ""Maybe if I act like that That guy will call me back Porno paparazzi girls I don't wanna be a stupid girl"", ""Maybe if I act like that Flippin' my blond hair back Push up my bra like that I don't wanna be a stupid girl"", ""Break it down, now"", ""The disease is growing, it's epidemic I'm scared that there ain't a cure The world believes it, and I'm going crazy I cannot take any more"", ""I'm so glad that I'll never fit in That will never be me Outcasts and girls with ambition That's what I wanna see (c'mon)"", ""Disaster's all around A world of despair Your only concern Will they fuck up my hair?"", ""Maybe if I act like that That guy will call me back Porno paparazzi girls I don't wanna be a stupid girl"", ""Maybe if I act like that Flippin' my blond hair back Push up my bra like that I don't wanna be a stupid girl"", ""Do ya thing, do ya thing, Do ya thing, do ya thing, do ya I like this, like this, like this"", ""Pretty will you fuck me girl Silly I'm so lucky girl Pull my hair I'll suck it girl Stupid girl! Pretty will you fuck me girl Silly I'm so lucky girl Pull my hair I'll suck it girl Stupid girl!"", ""Maybe if I act like that Flipping my blond hair back Push up my bra like that Stupid girl!"", ""Maybe if I act like that That guy will call me back Porno paparazzi girls I don't wanna be a stupid girl"", ""Maybe if I act like that Flippin' my blond hair back Push up my bra like that I don't wanna be a stupid girl"", ""Maybe if I act like that Flipping my blond hair back Push up my bra like that Stupid girl Stupid girl Stupid girl"""
36,dont let me get me radio edit   ,"""Never win first place, I don't support the team, I can't take direction, And my socks are never clean."", ""Teachers dated me. My parents hated me. I was always in a fight 'Cause I can't do nothin' right."", ""Every day I fought a war against the mirror, I can't take the person starin' back at me."", ""I'm a hazard to myself... Don't let me get me. I'm my own worst enemy, It's bad when you annoy yourself."", ""So irritating. Don't wanna be my friend no more, I wanna be somebody else, I wanna be somebody else, yeah..."", ""L.A. told me, \""You'll be a pop star. All you have to change Is everything you are.\"""", ""Tired of being compared To damn . She's so pretty, That just ain't me..."", ""So doctor, doctor won't you please prescribe me somethin'? A day in the life of someone else."", ""'Cause I'm a hazard to myself... Don't let me get me (No). I'm my own worst enemy, It's bad when you annoy yourself."", ""So irritating (No). Don't wanna be my friend no more, I wanna be somebody else (Yeah)."", ""Don't let me get me (Don't let me). I'm my own worst enemy (Oh), It's bad when you annoy yourself."", ""So irritating. Don't wanna be my friend no more, I wanna be somebody else."", ""So doctor, doctor won't you please prescribe me somethin'? A day in the life of someone else. Don't let me get me..."", ""Oh, I'm a hazard to myself, yeah... Don't let me get me. I'm my own worst enemy, It's bad when you annoy yourself (Yourself)."", ""So irritating (So irritating). Don't wanna be my friend no more (Don't, don't), I wanna be somebody else."", ""Don't let me get me (Don't let, don't let)... I'm my own worst enemy (Don't let me get me), It's bad when you annoy yourself (It's bad, it's so bad)."", ""So irritating (Oh). Don't wanna be my friend no more (I), I wanna be somebody else."", ""(Don't let me get me, don't let me get me) I'm my own worst enemy, It's bad when you annoy yourself."""
37,walk of shame   ,"""One step, two steps Counting tiles on the floor"", ""Three steps, four steps Guess this means that I'm a whore"", ""Uh-oh, hell no How long till I reach the door?"", ""Fuck me, my feet are sore"", ""I'm wearing last night's dress But I look like a hot Ass mess"", ""Although my hair looks good 'Cause I haven't slept yet"", ""Make the elevator Come a little faster I'm pushing all the buttons But nothing's happening Please, God, don't let Anybody see me Please, God, I'll do Anything you ask of me I promise no more Walks of shame So walk this way (We're walking, we're walking) Walk this way (We're walking, we're walking)"", ""Last night's bubblegum No more bubbles, no more yum Where'd I get the wristband? Tell me there's no trampstamp"", ""One, two, three, shoot No one knows the shitty queue But damnit man, this show is fun Party till the sun wakes up"", ""Okay, now raise your hand If you've ever been guilty"", ""And clap, clap, clap, clap it out If you'll walk with me"", ""Make the elevator Come a little faster I'm pushing all the buttons But nothing's happening Please, God, don't let Anybody see me Please, God, I'll do Anything you ask of me I promise no more Walks of shame So walk this way (We're walking, we're walking) Walk this way (We're walking, we're walking)"", ""I shouldn't have let You take my keys, take my keys And left me here, too much beer My friends, they hung me out to dry It's not my fault and that's why I'm doin' the walk of shame"", ""Make the elevator Come a little faster I'm pushing all the buttons But nothing's happening Please, God, don't let Anybody see me Please, God, I'll do Anything you ask of me I promise no more Walks of shame So walk this way (We're walking, we're walking) Walk this way (We're walking, we're walking) So walk this way (We're walking, we're walking) Walk this way (We're walking, we're walking)"""
38,you and your hand   ,
39,tell me something good   ,"""You ain't got no kind of feeling inside hahahahaha"", ""I got something that will sure 'nuff set your stuff on fire You refuse to put anything before your pride I got something that will knock all your pride aside"", ""So tell me something good Tell me something good"", ""Got no time is what you're known to say But I'll make you wish there were 48 hours to each day Problem is you ain't been loved, loved like you should Baby, what I got to give will sure 'nuff do you good"", ""Tell me something good Tell me something good Tell me something good Tell me something good"", ""Tell me something good Tell me something good"""
40,90 days   ,"""[Intro: P!nk] No-no-no, no-no-no, no Hey No-no-no, no-no-no, no"", ""[Verse 1: P!nk] We're driving in a black car And it's blacked out and we're spinnin' We're listening to \""Fast Car\"" And you're driving fast and you're singin' Don't wanna tell you what I'm feelin' Don't want this night to hit a ceiling I'm wearing dirty white shoes A white t-shirt and your jacket I'm laughing, but I'm lying When you're smiling, I'm the saddest I hide my face so you don't see it I think out loud, hope you don't hear it"", ""[Pre-Chorus: P!nk & Wrabel] It's going on 18 months now And it's fucked up, but I'm falling I feel it every day now But I'm stallin', but I'm stallin' I'm here, but I'm in pieces And I don't know how to fix this And I don't know how to fix this, no"", ""[Chorus: P!nk & Wrabel] If I'm just somebody that you're gonna leave And you don't feel something when you look at me You're holdin' my heart, mmm, whatcha say? Just let me down slowly, I'll be okay If you're just some habit that I gotta break I can clear my system in 90 days You're holdin' my heart, mmm, whatcha say? Just let me down slowly"", ""[Verse 2: Wrabel] I get up, turn the lights out And it's four o'clock in the morning I close my eyes, I can't sleep A hotel room in New York, and I feel the space that's in between us Convince myself that this is real love"", ""[Pre-Chorus: Wrabel & P!nk] 'Cause you made this shit so easy And I told you my secrets So I don't know why I'm tongue tied At the wrong time when I need this I'm here, but I'm in pieces And I don't know how to fix this And I don't know how to fix this, no"", ""[Chorus: P!nk & Wrabel] If I'm just somebody that you're gonna leave And you don't feel something when you look at me You're holdin' my heart, mmm, whatcha say? Just let me down slowly, I'll be okay If you're just some habit that I gotta break I can clear my system in 90 days You're holdin' my heart, mmm, whatcha say? Just let me down slowly"", ""[Bridge: P!nk & Wrabel] I-I-I, I-I-I, I-I-I Ooh, no We're drivin' in your fast car, your fast car We're drivin' in your fast car, your fast car We're drivin' in your fast car, your fast car We're drivin' all night We're drivin' in your fast car, your fast car, yeah We're drivin' in your fast car, your fast car, yeah We're drivin' in your fast car, your fast car, yeah We're drivin' all night"", ""[Chorus: P!nk & Wrabel] If I'm just somebody that you're gonna leave And you don't feel something when you look at me You're holdin' my heart, mmm, whatcha say? (Oh, you're holdin' my heart) Just let me down slowly, I'll be okay If you're just some habit that I gotta break (Gotta break) I can clear my system in 90 days You're holdin' my heart, mmm, whatcha say? (Oh, you're holdin' my heart) Just let me down slowly"""
41,baby you can do it   ,"""Oh yeah, believe it baby Aight Toni, come on Toni"", ""[Toni Braxton] Baby you can do it Take your time do it right You can do it birdman, do it tonight Get you shine baby It's your time, do it tonight (Do it yeah)"", ""[Verse 1] Ay, ay, ay See this stuntin, pimpin, cadalliac dippin Grey-head miss Gladys, your son new mission Birdman daddy, no divin for fishes Until you ducks, I'm stackin my riches Brought mami to the mall and she ball wit a genius Frankie B, Kristen Desmenfifler Stilleto boot, wife beater and I minked her Spend like crazy, if the broad freak me Dro back jersey, the world wide champion Baby, in a coupe spin bout eighty Bird island, know that I'm smilin Broads on my yaught, wit they gucci and proper Hood rich, I'm sellin that Hood rats, cost dime a dollar Boss pimpin got sick off of power Get it how you live, I'm a known survivor"", ""[Chorus - Toni Braxton] Baby you can do it Take your time do it right You can do it birdman, do it tonight Get you shine baby It's your time, do it tonight Uh, uh, oh, baby, take your time Bust they eye (bust they eye) Uh, uh, oh, baby, take your time Bust they eye"", ""[Verse 2] Well it's the birdman daddy, I'll fly in any weather I keep the birdlady with the feather in the pezzle Always on the rock with the full length leather I'm in the Benz, she in a new Lexus 22's cause we bird infested Ruby red with the platinum necklace She in the Escalade, so wild stretchin I'm so so fly, the man done blessed me Mami in the village so while dressed em Mink on the boots wit the minked out sweater Mink on the floor, with the mink chinchetta Mink on the Gucci, with the mink on the leather See I'm fly on these , mami ride on voles Stop and go's on that new Range Rover Time to go home, cause I gots to go because (Mami is in the bed with the breakfast on the stove)"", ""[Chorus]"", ""[Verse 3] Hey pimp, it's the rich and famous You drivin wreckless, you drivin dangerous Twenty inches on the caddy, don't blame me Slab on the floor, but it's my turn baby Money ain't natin to me See that birdman Jr., that somethin to me What you know about runnin these streets Get it how you live, and get it how ya be Get it how ya hustle, and get it how ya see Off parole so i'm puffin these trees I'm so so high, I'm a world wide G Connected to these streets, playa this cash money"", ""[Chorus]"", ""[Baby in the backround] Oh yeah, Stunner and TB man Yo turn baby, got your mink on Your gucci on, your prala on Do it, do it big In yo new truck wit yo stop and go's, mami It's supposed to look so so so fly Ya done dig, 23's they on turn and shine ya done dig Birdman daddy, I'm fly in any weather Ok, fo sheezie baby Send \""Baby You Can Do It\"" R"""
42,hey why miss you sometime   ,"""Big time like oh I need your love Like oh I need your love Baby boy i'm fallin' in your love We dominate this love Big-time Jack Daniels type of love Titanic with your love Wakin' up in Florida kind of love We dominate this love big time like"", ""Give it a minute I know it's shit but I love it We're high we're way above it I need you out my head now Give it a minute We'll soon be gone we'll forget it We're high so high above it I need you out my life now"", ""CHORUS Hey why you fucked up my life So hey why do I miss you sometimes A thousand nights I've said goodbye Almost lost my mind So hey why do I miss you sometimes"", ""Big time like oh I need your love Like only need your love Baby boy I'd die without your love You dominate me love Big-time Johnny Cash kind of love Mcdonald's type of love Can't find my clothes kind of love We dominate this love big time like"", ""Give it a minute I know its shit but I love it We're high we're way above it I need you out my head now Give it a minute We'll soon be gone we'll forget it We're high so high above it I need you out my life now"", ""CHORUS Hey why you fucked up my life So hey why do I miss you sometimes A thousand nights I've said goodbye Almost lost my mind So hey why do I miss you, do i miss you sometimes"", ""Oh damn it's a shame everything that I want you ain't really with it Oh damn it's a shame it's a game that we play when we say we're in it Oh damn it's a pain when you say that my heart ain't in it Oh damn I miss you sometime Oh we're high we're way above it I need you out my head now Give it a minute We'll soon be gone we'll forget it We're high so high above it I need you out my life now Hey Why"", ""Hey why you fucked up my life So hey why do i miss you sometimes A thousand nights I've said goodbye Almost lost my mind So hey why do I miss you sometimes."", ""Big-time like oh I need your love Like oh I need your love Baby boy I'm fallin' in your love Do I miss you sometimes Big-time Jack Daniels type of love Titanic with your love Wakin' up in Florida kind of love Do I miss you sometimes Big-time like"""
43,its all your fault   ,"""I conjure up the thought of being gone But I'd probably even do that wrong I try to think about which way Would I be able to and would I be afraid"", ""Cause oh I'm bleeding out inside Oh I don't even mind (Yeah) It's all your fault You called me beautiful You turned me out And now I can't turn back I hold my breath Because you were perfect But I'm running out of air And it's not fair"", ""I'm trying to figure out what else to say (What else could I say) To make you turn around and come back this way (Would you just come back this way) I feel like we could be really awesome together So make up your mind cause it's now or never (Oh) It's all your fault You called me beautiful You turned me out And now I can't turn back I hold my breath Because you were perfect But I'm running out of air And it's not fair"", ""I would never pull the trigger But I've cried wolf a thousand times I wish you could Feel as bad as I do I have lost my mind It's all your fault You called me beautiful You turned me out And now I can't turn back I hold (I hold) my breath (My breath) Because you were perfect But I'm running out of air (Running out of air) And it's not fair"", ""(Oh yeah It's all your fault)"", ""I hold my breath Because you were perfect But I'm running out of air And it's not (It's not) fair"""
44,the truth about love   ,"""The truth about love comes at 3am You wake up fucked up and you grab a pen And you say to yourself: I'm gonna figure it out, I'm gonna crack that code Gonna break it break it down I'm tired of all these questions And, now it's just annoying Cause, no one has the answer So I guess it's up to be To find the truth about love As it comes, and it goes A strange fascination with his lips and toes Morning breath, bedroom eyes on a smiling face Sheet marks red burn, and a sugar glaze Shocking me all, they can eat your eyes If the truth about love."", ""I think it just may be perfect The only person of my dreams I never ever, ever, ever been this happy But now something has changed. And The Truth About Love is it's all a lie I thought you were the one, and I hate goodbyes."", ""Oh, you want the truth?"", ""The truth about love is it's nasty and salty It's the regret in the morning, it's the smelling of armpits"", ""It's wings, and songs And trees, and birds It's all the poetry that you ever heard. Tear it put it down, life lime for get me now It's the hunt and the kill The schemes and the plots"", ""The truth about love is it's blood, and it's guts"", ""Pure bread, and mud So much is without the crust It takes your breathe, cause it leaves a scar But those untouched never got never got very far It's raging it's hate And I sit through it fade And that's the truth about love The truth about love. I think it just may be perfect The only person of my dreams I never ever, ever, ever been this happy But now something has changed. And The Truth About Love is it's all a lie I thought you were the one, and I hate goodbyes. Oh, you can lose your breath. Oh, you can shoot a gun and Convince you're the only one that's ever found his way before."", ""It hurts inside the hell we've been in It falls to get a pack and thinner It's raised before the angels' lips and They can turn you into a son of a bitch man. The truth, the truth, the truth about love is Truth, the truth, the truth about love is"", ""Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth, the truth, the truth about love is Truth about love"""
45,catch 22   ,"""(SPOKEN): Good afternoon ladies and gentlemen and welcome to Pink Airlines. We hope your flight is enjoyable and our flight attendants are here to insure your ride is as pleasant as possible. Seat backs and tray tables must be in the upright and locked position during the take-off and landing. All carry-on luggage must be stowed in an over-head compartment or under the seat in front of you..."", ""Waiting on a ticket 'Cause you're looking for the ride You're feeling on top 'Cause you're flying through the sky You wanna have your cake And you wanna eat it too Everybody's always pointing fingers at you You're damned if you do You're damned if you don't We're always doing all the things That we say we won't"", ""(CHORUS): Here we go We're riding on a whim Connecting with a rendezvous Here we go We're jumping off the wings We're going round in circles It's a catch 22 Yes, we're flying round in circles It's a catch 22 yes were rocking round in circles it's the catch 22"", ""(SPOKEN): If you are seated in an emergency exit aisle and feel as though you are unable or unwilling to assist in case of an emergency, please notify a flight attendant immediately. All eletrical equipment, including cell phones, 2-way pagers, portable CD players, laptops, etc. should remain in the off position until the pilot notifies us that we areat a safe flying altitude of 10, 000 ft."", ""Looking from the outside You're always looking in You think you fixed the problem 'Til it comes right back again And life seems like a trap You're trying to get out You're searching for you cheese 'Cause you feel like mighty mouse You're damned if you don't You're damned if you do You've seen all the signs But you haven't got a clue"", ""(CHORUS) You are in for the ride of you life (CHORUS)"", ""(SPOKEN): We realize you had many choices and on behalf of all of us at Pink Airlines, we'd like to thank you for flying with us. We hope you have a wonderful stay wherever your destination may be, and remember be careful when retrieving your items, as during the flight they may have shifted and might fall on you or your neighbeigher's head and knock you the fuck out..."", ""(CHORUS)"""
46,try   ,"""Ever wonder 'bout what he's doin', how it all turned to lies Sometimes I think that it's better to never ask why"", ""Where there is desire there is gonna be a flame Where there is a flame, someone's bound to get burned But just because it burns doesn't mean you're gonna die You've gotta get up and try, try, try"", ""Gotta get up and try, try, try Gotta get up and try, try, try"", ""Funny how the heart can be deceiving more than just a couple times Why do we fall in love so easy even when it's not right?"", ""Where there is desire there is gonna be a flame Where there is a flame, someone's bound to get burned But just because it burns doesn't mean you're gonna die You've gotta get up and try, try, try"", ""Gotta get up and try, try, try Gotta get up and try, try, try"", ""Ever worry that it might be ruined, and does it make you wanna cry? When you're out there doing what you're doing, are you just getting by?"", ""Tell me, are you just getting by, by, by?"", ""Where there is desire there is gonna be a flame Where there is a flame, someone's bound to get burned But just because it burns doesn't mean you're gonna die You've gotta get up and try, try, try"", ""Gotta get up and try, try, try You've gotta get up and try, try, try Gotta get up and try, try, try Gotta get up and try, try, try"", ""You've gotta get up and try, try, try Gotta get up and try, try, try You've gotta get up and try, try, try Gotta get up and try, try, try"""
47,heads up   ,"""You Took My Heads Up To Show Me How, You Promised Me To Be Around. Yes,Yes, That's Right. Heads Up Go To Somewhere Good. Yes, Yes, That's Right. If You Are Finally Here You Can Play With Me Instead You Play With Your Friends, I Know Good Plan's Because I Said Forever. And Never Heads Up...... Remember When We Play Sometimes And We Play Without Your FRIENDS. Oh-No No-No I Wish I Could Be Solin Now, I Wish I Could To Call You Good. I Give Up!! When Some Good Plan's Help. For There All Right. Get Something A Surprise For Me. We Were All Wrong. We Know Better Still You Play With Your Friends. And Never Heads Up. Yes,Yes, I Get You Locked In My Head, Yes,Yes, Until. Until We We Play Again. You Won't Forget Who's your best friend.................................. Who Is It? If You Are Finally Here You Can Play With Me Instead You Play With Your Friends, You Play With Someone Else, Because Your Best Friends Meeting Again. But I Play With My Best Friends Forever. I wish I could remember........... But I can Your memory.............. You're In my own sleep.............. My Darling Heads up My darling My darling Heads Up My Darling I'll miss you My darling Heads Up Heads Up"""
48,is it love   ,"""is it love, or just a curse do you feel good when i hurt? i need your heart to open up if this love's not real then it's just my luck"", ""verse 1 mommy help me, i need your help this little boy took my love, he says these things that make my body bump up, but then he runs leaving me undone, and i don't understand for sex he said he'd be my man"", ""chorus"", ""verse 2 daddy listen, i gave it up i'm not your little girl, my cherry's popped and all the trust, is missing, but please listen what do i do i know you wanna hurt him, but i like what he do he's only doing what you used to"", ""chorus"", ""bridge you never told me 'bout the birds and the bees or 'bout hide and go seek or what he gets when he finds me the biggest mistake are the choices i make won't you help me decide what's going on in my mind"", ""chorus"", ""vamp that thing you put on me, it's got me so confused won't somebody help me, tell me what should i do why's it feel so good is it just a curse will it get better, or will it get worse?!?!?"", ""tell me, tell me, tell me, does it feel good? damn!"", ""ad libs"""
49,bridge of light   ,"""Just when you think, hope is lost and giving up is all you've got Blue turns black your confidence is cracked There seems no turning back from here Sometimes there isn't an obvious explanation Why the holiest of hearts can feel the strongest palpitations That's when you can build a bridge of light That's what turns the wrongs all right That's when you can't give up the fight That's when love turns night time into day That's when loneliness goes away"", ""That's why you gotta be strong tonight Only love can build us a bridge of light"", ""When your feet are made of stone Your convinced that you're all alone look at the stars instead of the dark You'll find your heart shines like the sun"", ""Let's not let our anger get us lost When the need to be right comes with way too high a cost That's when love can build a bridge of light That's what turns the wrongs all right That's when you know it's worth the fight That's when love turns night time into day That's when loneliness goes away"", ""That's why you gotta be strong tonight Cause only love can build us a bridge of light Deep breath take it on the chin but don't forget... to let the love back in That's when love can build a bridge of light That's what turns the wrongs all right That's when you can't give up the fight"", ""And that's when love turns night time into day That's when loneliness goes away That's why you gotta be strong tonight Cause only love can build us a bridge of light Only love can build us a bridge of light... a light... a light"""
50,funhouse   ,"""I dance around this empty house Tear us down, throw you out Screaming down the halls Spinning all around and now we fall"", ""Pictures framing up the past Your taunting smirk behind the glass This museum full of ash Once a tickle, now a rash"", ""This used to be a funhouse But now it's full of evil clowns It's time to start the countdown I'm gonna burn it down, down, down I'm gonna burn it down"", ""9, 8, 7, 6-5-4, 3, 2, 1, fun!"", ""Echoes knocking on locked doors All the laughter from before I'd rather live out on the street Than in this haunted memory"", ""I've called the movers, called the maids We'll try to exorcise this place Drag my mattress to the yard Crumble, tumble house of cards"", ""This used to be a funhouse But now it's full of evil clowns It's time to start the countdown I'm gonna burn it down, down, down This used to be a funhouse"", ""But now it's full of evil clowns It's time to start the countdown I'm gonna burn it down, down, down I'm gonna burn it down 9, 8, 7, 6-5-4, 3, 2, 1, fun!"", ""I'm crawling through the doggy door"", ""My key don't fit my lock no more I'll change the drapes, I'll break the plates I'll find a new place, burn this fucker down! Do do do do, do-do do"", ""Do do do do, do-do do Do do do do, do-do do Do do do do, da-da-da-da! Do do do do, do-do do (9, 8, 7, 6 5 4, 3, 2, 1) Do do do do, do-do do Do do do do, do-do do This used to be a funhouse But now it's full of evil clowns It's time to start the countdown I'm gonna burn it down, down, down This used to be a funhouse But now it's full of evil clowns It's time to start the countdown I'm gonna burn it down, down, down I'm gonna burn it down"""
51,just like a pill   ,"""I'm lyin' here on the floor where you left me I think, I took too much I'm cryin' here, what have you done? I thought it would be fun"", ""I can't stay on your life support, there's a shortage in the switch I can't stay on your morphine, 'cuz its makin' me itch I said, I tried to call the nurse again but she's being a little bitch I think I'll get outta here, where I can"", ""Run just as fast as I can To the middle of nowhere To the middle of my frustrated fears And I swear you're just like a pill Instead of makin' me better, you keep makin' me ill You keep makin' me ill"", ""I haven't moved from the spot where you left me This must be a bad trip All of the other pills, they were different Maybe I should get some help"", ""I can't stay on your life support, there's a shortage in the switch I can't stay on your morphine, 'cuz its makin' me itch I said, I tried to call the nurse again but she's being a little bitch I think I'll get outta here, where I can"", ""Run just as fast as I can To the middle of nowhere To the middle of my frustrated fears And I swear you're just like a pill Instead of makin' me better, you keep makin' me ill You keep makin' me ill"", ""Run just as fast as I can To the middle of nowhere To the middle of my frustrated fears And I swear you're just like a pill"", ""Instead of makin' me better, you keep makin' me ill You keep makin' me ill"", ""I can't stay on your life support, there's a shortage in the switch (Just like a pill) I can't stay on your morphine, 'cuz its makin' me itch (Just like a pill) I said, I tried to call the nurse again but she's being a little bitch (Just like a pill) I think I'll get outta here, where I can"", ""Run just as fast as I can To the middle of nowhere To the middle of my frustrated fears (Frustrated, frustrated fears) And I swear you're just like a pill Instead of makin' me better, you keep makin' me ill You keep makin' me ill"", ""Run just as fast as I can To the middle of nowhere To the middle of my frustrated fears (Frustrated fears) And I swear you're just like a pill (Just like a pill) Instead of makin' me better, you keep makin' me ill (Makin' me, makin' me ill) You keep makin' me ill Run just as fast as I can To the middle of nowhere To the middle of my frustrated fears And I swear you're just like a pill Instead of makin' me better, you keep makin' me ill (Oh you keep makin' me ill) You keep makin' me ill Run just as fast as I can To the middle of nowhere"""
52,is this thing on   ,"""Got your voice mail Can you call me? At a hotel there's something That's weighing heavy on my heart And heavy on my chest"", ""On a long night You're the morning I annoy you, and you bore me And it's hard enough to make it through A world that's already messed"", ""All in good time, we'll be just fine Either way we need to be happy"", ""Tell me is this thing on? How do we keep this new? How do I keep you into me, into me Without faking it too? What do we have to try? When everything is too loose? 'Cause it always is just me and you But it's the hardest thing, The hardest thing to do"", ""And I want you to want me Like the first time you saw me I know we're ten years on, but In my head we're still young and dumb"", ""It was so hard to let go And replace you, I still love you I just wanna find the thing That made me think this was the one"", ""All in good time, we'll be just fine Either way we need to be happy"", ""Tell me is this thing on? How do we keep this new? How do I keep you into me, into me Without faking it too? What do we have to try? When everything is too loose? 'Cause it always is just me and you But it's the hardest thing, The hardest thing to do"", ""It's the hardest thing, The hardest thing to do"", ""Tell me is this thing on? How do we keep this new? How do I keep you into me, into me Without faking it too? What do we have to try? When everything is too loose? 'Cause it always is just me and you But it's the hardest thing, The hardest thing to do"", ""Tell me is this thing on? How do we keep this new? How do I keep you into me, into me Without faking it too? What do we have to try? When everything is too loose? 'Cause it always is just me and you But it's the hardest thing, The hardest thing to do"""
53,im not dead   ,"""Yeah yeah yeah yeah yeah There's all these cracks Crack of sunlight Crack in the mirror on your lips It's the moment of a sunset Friday When our conversations twist It's the fifth day of ice on a new tattoo But the ice should be on our heads We only spun the wheel to catch ourselves So we weren't left for death"", ""And I was never looking for approval from anyone but you And though this journey is over I'll go back if you ask me to"", ""I'm not dead just floating Right between the ink of your tattoo In the belly of the beast we turned into I'm not scared just changing Right beyond the cigarette and the devilish smile You're my crack of sunlight"", ""You can do the math a thousand ways but you can't erase the facts That others come and others go but you always come back I'm a winter flower underground always thirsty for summer rain And just like the change of seasons I know you'll be back again"", ""I'm not dead just floating Underneath the ink of my tattoo I've tried to hide my scars from you I'm not scared just changing Right beyond the cigarette and the devilish smile You're my crack of sunlight oh"", ""I'm not dead just yet I'm not dead I'm just floating Doesn't matter where I'm going I'll find you I'm not scared at all Underneath the cuts and bruises Finally gained what no one loses I'll find you I will find you"", ""I'm not dead just floating I'm not scared just changing You're my crack of sunlight yeah"""
54,who knew   ,"""You took my hand, you showed me how You promised me you'd be around Uh huh, that's right I took your words and I believed in everything you said to me Yeah huh, that's right"", ""If someone said three years from now, you'd be long gone I'd stand up and punch them out, 'cause they're all wrong I know better, 'cause you said forever and ever Who knew?"", ""Remember when we were such fools And so convinced and just too cool Oh no, no, no I wish I could touch you again I wish I could still call you friend I'd give anything"", ""When someone said count your blessings now, before they're long gone I guess I just didn't know how, I was all wrong They knew better, still you said forever and ever Who knew? I'll keep you locked in my head until we meet again Until we, until we meet again"", ""And I won't forget you my friend What happened? If someone said three years from now, you'd be long gone I'd stand up and punch them out, 'cause they're all wrong and"", ""That last kiss I'll cherish until we meet again And time makes it harder I wish I could remember But I keep your memory You visit me in my sleep My darling, who knew? My darling, my darling, who knew? My darling, I miss you My darling, who knew? Who knew?"""
55,we could have it all   ,
