,Song_name,metallica
41,sweet amber   ,"""Watch your back, so you won't stab mine Get in bed with your own kind Live your life, so you don't see mine Drape your back, so you won't shine Watch your back, so you won't stab mine Get in bed with your own kind Live your life, so you don't see mine Drape your back, so you won't shine"", ""Ooh, then she holds my hand And I lie to get a smile Ooh, then she holds my hand And I lie to get a smile"", ""Using what I want To get what you want Using what I want To get what you want"", ""Using what I want To get what you want Using what I want To get what you want Ooh, sweet Amber"", ""How sweet are you? How sweet does it get? How sweet are you? How sweet does it get? Chase the rabbit, fetch the stick She rolls me over 'til I'm sick She deals in habits, deals in pain I run away but I'm back again"", ""Chase the rabbit, fetch the stick She rolls me over 'til I'm sick She deals in habits, deals in pain I run away but I'm back again"", ""Ooh, then she holds my hand And I lie to get a smile And she squeezes tighter I still lie to get a smile"", ""Using what I want To get what you want Using what I want To get what you want Using what I want"", ""To get what you want Using what I want To get what you want Ooh, sweet Amber"", ""How sweet are you?"", ""How sweet does it get? How sweet are you? How sweet does it get? She holds the pen that spells the end She traces me and draws me in She holds the pen that spells the end She traces me and draws me in Ooh, sweet Amber (Ooh, sweet Amber) Ooh, sweet Amber How sweet are you? How sweet does it get? How sweet are you? How sweet does it get? It's never as sweet as it seems"""
42,stone cold crazy   ,"""Sleeping very soundly on a Saturday morning, I was dreaming I was Al Capone. Rumours going round, gotta clear out of town, Smell like a dry fishbone. Here come the law, gonna break down the door, Carry me away once more. Never, never, never want it anymore, Gotta get away from this stone cold floor."", ""Crazy, stone cold crazy, you know. Rainy afternoon, ought to kill a typhoon,"", ""And she's playing on my slide trombone. Anymore, anymore, cannot take it anymore, Gotta get away from this stone cold floor. Crazy, stone cold crazy, you know."", ""Walking down the street, shooting people that I meet, Fully loaded Tommy gun."", ""Here come the deputy try fucking getting me Gotta fucking get up and run They got the sirens loose I ran right out of juice They're gonna put me in a cell, If I can't go to heaven, let me go to hell. Crazy, stone cold crazy, you know, yeah"""
43,tuesdays gone   ,"""Train roll on On down the line Won't you please take me far Far away Now I feel the wind blow Outside my door, and I'm leaving my woman at home (my baby's gone)"", ""Tuesday's gone with the wind, yeah My baby's gone, gone with the wind Long gone"", ""And I don't know where I'm going I just want to be left alone (oh, yeah) When this train ends, I'll try again, ooh I'm leaving my woman at home My baby's gone"", ""Tuesday's gone with the wind (ooh, yeah) Tuesday's gone with the wind, yeah Tuesday's gone, gone with the wind, yeah My baby's gone with the wind Train roll on Jump on Yeah Ha-ha, yeah"", ""Tuesday's gone with the wind (yeah, yeah) Tuesday's gone with the wind, yeah Tuesday's gone, gone with the wind, yeah My baby's gone with the wind Train rolls on"", ""Train roll on, many miles from my home, see, I'm I'm riding my blues babe, blues away, yeah Well, Tuesday, you see, ooh, she had to be free, yeah But somehow, I've got to, to carry on (my baby's gone)"", ""Tuesday's gone with the wind Tuesday's gone, long gone with the wind (Tuesday's gone) Tuesday's gone with the wind My baby's gone with the wind Train, rolls on Train, roll on (yeah) Ride on, train Ride on, train Ride on, train Train, ride, train, ride on Train, roll on The train it rolls on Train, roll on Train, roll on Lord, I can't change (I can't change) Lord, I can't change (I can't change) Lord, I can't change Lord, I can't change, yeah (Yeah-yeah / train, roll on, yeah) Ride on train, yeah, yeah, yeah, yeah (yeah) I can't change Train, roll on Ride on, train Lord, I can't change, no I can't change Ride on, train"""
45,no leaf clover   ,"""And it feels right this time On his crash course with the big time Pay no mind to the distant thunder New day fills his head with wonder, boy"", ""Says it feels right this time Turned it 'round and found the right line Good day to be alive, Sir Good day to be alive he says."", ""Then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way, yeah. Then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way, yeah."", ""Don't it feel right like this? All the pieces fall to his wish Sucker for that quick reward, boy Sucker for that quick reward they say."", ""Then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way, yeah. Then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way, yeah. It's coming your way. It's coming your way, yeah. Here comes!"", ""Yeah, Then it comes to be that the soothing light at the end of your tunnel was just a freight train coming your way, yeah."", ""Then it comes to be, Yeah. Then it comes to be, Yeah. Then it comes to be, Yeah. Then it comes to be, Yeah. Then it comes to be, Yeah. Then it comes to be, Yeah. Then it comes to be, Yeah. Then it comes to be, Yeah."""
46,confusion   ,"""Wake to face the day Grab this life and walk away War is never done Rub the patch and battle on Make it go away Please, make it go away"", ""Confusion All sanity is now beyond me Delusion All sanity is but a memory My life, the war that never ends"", ""Leave the battlefield Yet its horrors never heal Coming home from war Pieces don't fit anymore Make it go away Please, make it go away"", ""Confusion All sanity is now beyond me Delusion All sanity is but a memory My life, the war that never ends"", ""Father, please come home Shell shocked all I've known Father, please come home"", ""Label him a deadwood soldier now Cast away and left to roam Rapid is the road to sacrifice Just takes longer to come home Come home"", ""Confusion All sanity is now beyond me Delusion Crossfire ricochets inside me Trapped in a memory forever My life, the war that never ends"""
47,where the wild things are   ,"""So wake up sleepy one It's time to save your world"", ""Steal dreams and give to you Shoplift a thought or two All children touch the sun Burn fingers one by one, by one..."", ""Will this earth be good to you Keep you clean or stain through..."", ""So wake up sleepy one It's time to save your world You're where the wild things are Yeah, toy soldiers off to war..."", ""Big eyes to open soon Believing all under sun and moon But does heaven knows you're here And did they give you smiles or tears No, no tears"", ""Will this earth be good to you Keep you clean or stain through..."", ""So wake up sleepy one It's time to save your world You're where the wild things are... yeah, yeah Toy soldiers off to war..."", ""You swing your ass all down (Hand puppets storm the base! Flags up now cannons rage! Hand puppets storm the base!) Call to arms the trumpets sound (Flags up now cannons rage! All clowns head for the rear! Slingshots fire to the air!)"", ""Toy horses start the charge (All clowns head for the rear! Slingshots fire to the"", ""air! Slip into the edge of death!) Robots, chessmen standing guard (Crossfire to the marionettes! Slip into the edge of death! Crossfire to the marionettes!) We shall never surrender All the children touch the sun Burn your fingers one by one Will this earth be good to you Keep you clean or stain through... So wake up sleepy one It's time to save your world You're where the wild things are, oh-yeah Toy soldiers off to war... So close your little eyes..."""
48,devils dance   ,"""Yeah I feel you too Feel Those things you do"", ""In your eyes I see a fire that burns To free the you that's running through Deep inside you know Seeds I plant will grow"", ""One day you will see And dare to come down to me Yeah, come on, come on now take the chance That's right, let's dance"", ""Snake I am the snake Tempting That bite to take"", ""Let me make your mind Leave yourself behind Be not afraid I've got what you need Hunger I will feed"", ""One day you will see And dare to come down to me Yeah, come on, come on now, take the chance Haha, come dance Yeah, come dancing"", ""One day you will see And dare to come down to me Yeah, come on, come on now, take the chance"", ""Yeah I feel you too Feel Those things you do"", ""In your eyes I see a fire that burns To free the you that's running through Deep inside you know Seeds I plant will grow One day you will see And dare to come down to me Yeah, come on, come on now, take the chance That's right, will dance Mmm, it's nice to see you here Haha"""
49,the unforgiven iii   ,"""How could he know this new dawn's light, would change his life forever? Set sail to sea, but pulled off course, by the light of golden treasure Was he the one, causing pain, With his careless dreaming? Been afraid, always afraid, Of the things he's feeling He could just be gone He would just"", ""sail on He'll just sail on How can I be lost, If I've got nowhere to go? Search for seas of gold, How come it's got so cold? How can I be lost, In remembrance I relive. And how can I blame you, When it's me I can't forgive? These days drift on inside a fog, It's thick and suffocating"", ""His seeking life outside its hell, Inside intoxicating"", ""He's run aground Like his life Water much too shallow Slipping fast Down with his ship Fading in the shadows Now ...a... castaway They've all gone"", ""away They've gone away"", ""How can I be lost, If I've got nowhere to go? Search for seas of gold, How come it's got so cold? How can I be lost, In remembrance I relive And how can I blame you?, When it's me I can't forgive? Forgive me"", ""Forgive me not Forgive me Forgive me not"", ""Forgive me Forgive me not Forgive me Forgive me, why can't I forgive me?"", ""Set sail to sea, but pulled off course, By the light of golden treasure How could he know this new dawn's light, Would change his life forever? How can I be lost, If I've got nowhere to go? Search for seas of gold, How come it's got so cold? How can I be lost, In remembrance I relive So how can I blame you, When it's me I can't forgive?"""
50,i disappear   ,"""Hey Hey Hey Here I go now Here I go into new days Hey Hey Hey Here I go now Here I go into new days"", ""I'm pain, I'm hope, I'm suffer Yeah Hey Hey Hey Yeah Yeah Here I go into new days"", ""Hey Hey Hey Ain't no mercy Ain't no mercy there for me Hey Hey Hey Ain't no mercy Ain't no mercy there for me"", ""I'm pain, I'm hope, I'm suffer Yeah Yeah Hey, Hey no mercy Ain't no mercy there for me"", ""Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear"", ""Hey Hey Hey And I went And I went on down that road Hey Hey Hey And I went And I went on down that road"", ""I'm pain, I'm hope, I'm suffer Hey Hey Hey Yeah, And I went on And I went on down that road"", ""Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear"", ""Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear Do you bury me when I'm gone Do you teach me while I'm here Just as soon as I belong Then it's time I disappear"""
51,creeping death   ,"""Slaves Hebrews born to serve To the pharaoh Heed To his every word Live in fear Faith Of the unknown one The deliverer Wait Something must be done Four hundred years"", ""So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first-born pharaoh son I'm creeping death"", ""Now Let my people go Land of Goshen Go I will be with thee Bush of fire Blood Running red and strong Down the Nile Plague Darkness three days long Hail to fire"", ""So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first-born pharaoh son I'm creeping death"", ""-Solo-"", ""Die by my hand I creep across the land Killing first-born man Die by my hand I creep across the land Killing first born man"", ""I Rule the midnight air The destroyer Born I shall soon be there Deadly mass I Creep the steps and floor Final darkness Blood Lambs blood painted door I shall pass"", ""So let it be written So let it be done I'm sent here by the chosen one So let it be written So let it be done To kill the first-born pharaoh son I'm creeping death"""
54,some kind of monster   ,"""These are the eyes that can't see me These are the hands that drop your trust These are the boots that kick you 'round This is the tongue that speaks on the inside These are the ears that ring with hate This is the face that'll never change This is the fist that grinds you down This is the voice of silence no more"", ""These are the legs in circles run This is the beating you'll never know These are the lips that taste no freedom This is the feel thats not so safe This is the face you'll never change This is the god that ain't so pure This is the god that is that pure This is the voice of silence no more"", ""We the people! Are we the people? We the people! Are we the people?"", ""Some Kind Of Monster Some Kind Of Monster"", ""Some Kind Of Monster This monster lives This is the face that stones you cold This is the moment that needs to breathe These are the claws that scratch these wounds This is the pain that never leaves This is the tongue that whips you down This is the burden of every man"", ""These are the screams that pierce your skin This is the voice of silence no more Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah This is the test of flesh and soul This is the trap that smells so good This is the flood that drains these eyes These are the looks that chill to the bone These are the fears that swing overhead"", ""These are the weights that hold you down This is the end that will never end This is the voice of silence no more We the people!"", ""Are we the people? We the people!"", ""Are we the people? Some Kind Of Monster Some Kind Of Monster Some Kind Of Monster This monster lives This is the cloud that swallows trust This is the black that uncolors us This is the face that you hide from"", ""This is the mask that comes undone Ominous, I am in us Ominous, I am in us Ominous, I am in us"", ""Ominous, I am in us This is the cloud that swallows trust This is the black that uncolors us This is the face that you hide from This is the mask that comes undone Ominous, I am in us Ominous, I am in us Ominous, I am in us Ominous, I am in us Are we the people? Some Kind Of Monster Some Kind Of Monster Some Kind Of Monster This monster lives"""
55,carpe diem baby   ,"""Hit dirt"", ""Shake tree"", ""Split sky"", ""Part sea"", ""Strip smile"", ""Lose cool"", ""Bleed the day"", ""And break the rule"", ""Live to win"", ""Dare to fail"", ""Eat the dirt"", ""And bite the nail"", ""Then make me miss you"", ""Then make me miss you"", ""So wash your face away with dirt"", ""It don't feel good until it hurts"", ""So take this world and shake it"", ""Come squeeze and suck the day"", ""Come carpe diem baby"", ""Draw lead"", ""Piss wine"", ""Sink teeth"", ""All mine"", ""Stoke fire"", ""Break neck"", ""Suffer through this"", ""Cheat on dead air"", ""Under curve"", ""Noose the time"", ""Tear the map"", ""And shoot the sign"", ""Then make me miss you Oh yeah Then make me miss you So wash your face away with dirt It don't feel good until it hurts So take this world and shake it Come squeeze and suck the day Come carpe diem baby Yeah, suck it Live to win Dare to fail Eat dirt Bite the nail Strip smile Lose cool Bleed the day And break the rule Under curve Noose the time Tear the map And shoot the sign Then make me miss you Come on, come on Then make me miss you So wash your face away with dirt It don't feel good until it hurts So take this world and shake it Come squeeze and suck the day Come make me miss you Come carpe diem baby Come carpe diem baby"""
56,jump in the fire   ,"""Down in the depths of my fiery home The summons bell will chime Tempting you and all the earth to join our sinful kind There is a job to be done and I'm the one You people make me do it Now it is time for your fate and I won't hesitate to pull you down into this pit"", ""So come on Jump in the Fire So come on Jump in the Fire"", ""With hell in my eyes and with death in my veins The end is closing in Feeding on the minds of man and from their souls within My disciples all shout to search you out And they always shall obey Follow me now my child not the meek or the mild But do just as I say"", ""So come on Jump in the Fire So come on Jump in the Fire"", ""Jump by your will or be taken by force I'll get you either way Trying to keep the hellfire lit I am stalking you as prey Living your life as me I am you you see There is part of me in everyone So reach down grab my hand walk with me through the land Come home where you belong So come on Jump in the Fire So come on Jump in the Fire"""
57,thorn within   ,"""Forgive me father For I have sinned Find me guilty of the life I feel within"", ""When I'm branded this mark of shame Should I look down, disgraced Or straight ahead And know that you must blame"", ""I am, I am the secret I am, I am the sin I am, I am the guilty And I, I am the thorn within"", ""Forgive me father For I have sinned Find me guilty when true guilt Is from within"", ""So point your fingers Point right at me For I am shadows and will follow you One and the same are we"", ""I am, I am the secret I am, I am the sin I am, I am the guilty And I, I am the thorn within"", ""I do your time I take your fall I'm branded guilty For us all"", ""So point your fingers Point right at me For I am shadows and will follow you One and the same are we"", ""I am, I am your secrets I am, I am your sin I am, I am your guilty And I, I am the thorn within I am the thorn within I am the thorn within I am the thorn within I am the thorn within I am the thorn within"""
58,the new song   ,"""Man in black comes around Blacks the light Blacks the sound Fear the thought of it never ever coming back Leave the shift to the round"", ""Open up your gate Spirit dialate Watch the falling sand Shifting through his hand Open Up Your Gate Spirit Dialate Whisper To Your Friends Death Is Not The End!"", ""Not the End Not the End Its the beginning It's a..."", ""Paid my dues in the cell Be the toll of the bell Dearly beloved We gathered here today to say goodbye to our old selves"", ""Open Up Your Gate Spirit Dialate Watch the falling sand Slipping through his hand Open Up Your Gate Spirit Dialate Go tell all Your Friends Death Is Not The End!"", ""Not the End Not the End its the begining"", ""Ive been a rambler, the light changes me Ive been a rambler, the light sets me free"", ""Sets me free"", ""*Guitar Solo*"", ""Yeah!"", ""Ive been a rambler the light sets me free ive been a gambler the light sets me free"", ""Sets me free"", ""Haha!"", ""Man in black comes around Blacks the light Blacks the sound Dearly beloved We gathered here today to say goodbye to our old selves"", ""Open up your gate Spirit dialate Watch the falling sand Slipping through his hand Open Up Your Gate Spirit Dialate Go Tell all Your Friend Death Is Not The End!"", ""Not the End Not the End its the begining"", ""Death is not the end!"""
59,until it sleeps   ,"""Where do I take this pain of mine? I run but it stays right by my side"", ""So tear me open, pour me out! There's things inside that scream and shout And the pain still hates me So hold me until it sleeps Just like the curse, just like the stray You feel it once and now it stays Now it stays"", ""So tear me open but beware There's things inside without a care And the dirt still stains me So wash me until I'm clean"", ""It grips you so hold me It stains you so hold me It hates you so hold me It holds you so hold me Until it sleeps So tell me why you've chosen me Don't want your grip, don't want your greed Don't want it I'll tear me open, make you gone No more can you hurt anyone And the fear still shakes me So hold me until it sleeps"", ""It grips you so hold me It stains you so hold me It hates you so hold me It holds you, holds you, holds you until it sleeps I don't want it"", ""So tear me open but beware There's things inside without a care And the dirt still stains me So wash me Till clean"", ""I'll tear me open, make you gone No longer will you hurt anyone And the hate still shapes me So hold me until it sleeps Until it sleeps"""
60,whiplash   ,"""Late at night, all systems go You've come to see the show We do our best, you're the rest You make it real, you know"", ""There's a feeling, deep inside That drives you fuckin' mad A feeling, of a hammerhead You need it oh so bad"", ""Adrenaline starts to flow You're thrashing all around Acting like a maniac Whiplash!"", ""Bang your head against the stage Like you never did before Make it ring, make it bleed Make it really sore"", ""In a frenzied madness With your leathers and your spikes Heads are bobbing all around It's hot as hell tonight"", ""Adrenaline starts to flow You're thrashing all around Acting like a maniac Whiplash!"", ""Here on stage the Marshall noise Is piercing through your ears It kicks your ass, Kicks your face Exploding feeling nears"", ""Now's the time to let it rip To let it fuckin' loose We're gathered here to maim and kill Cause this is what we choose"", ""Adrenaline starts to flow You're thrashing all around Acting like a maniac"", ""Here we go!"", ""(1st solo)"", ""Whiplash!"", ""(2nd solo) The show is through, the metal's gone It's time to hit the road Another town, another gig Again we will explode Hotel rooms and motorways Life out here is raw We'll never stop, we'll never quit Cause we're Metallica Adrenaline starts to flow You're thrashing all around Acting like a maniac Ow, ow!"""
61,anesthesia pulling teeth   ,"""Late at night all systems go You have come to see the show We do our best you're the rest You make it real you know"", ""There is a feeling deep inside That drives you fuckin' mad A feeling of a hammerhead You need it oh so bad"", ""Adrenaline starts to flow You're thrashing all around Acting like a maniac Whiplash"", ""Bang your head against the stage Like you never did before Make it ring make it bleed Make it really sore"", ""In a frenzied madness With your leather and your spikes Heads are bobbing all around It is hot as hell tonight"", ""Adrenaline starts to flow You're thrashing all around Acting like a maniac Whiplash"", ""Here on the stage the marshal noise Is piercing through your ears It kicks your ass kick your face Exploding feeling nears"", ""Now is the time to let it rip To let it fuckin' loose We are gathered here to I'm and kill 'Cause this is what we choose"", ""Adrenaline starts to flow You're thrashing all around Acting like a maniac Whiplash"", ""The show is through the metal is gone It is time to hit the road Another town another gig Again we will explode"", ""Hotel rooms and motorways Life out here is raw But we will never stop We will never quit 'Cause we are Metallica"", ""Adrenaline starts to flow You're thrashing all around Acting like a maniac Whiplash"""
62,breadfan   ,"""Breadfan Open up your mind Open up your purse Open up your bones Never, never gonna lose it"", ""Breadfan Take it all away Never give an inch Gotta make a mint Gotta make me a million"", ""Breadfan You got it wrong Some long time friend's gonna lose it In the end who's a fool"", ""Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be"", ""Loser Give it all away Never stay with the winner With the man With all the filthy money"", ""Come on Keep it on the side With a ride On a record on the top If you're gonna be a bad boy"", ""Breadfan You got it wrong Some long time friend's gonna lose it In the end who's a fool"", ""Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be"", ""Breadfan Open up your mind Open up your purse Open up your bones Never, never gonna lose it"", ""Breadfan Take it all away Never give an inch Gotta make a mint Gotta make me a million"", ""Breadfan You got it wrong Some long time friend's gonna lose it In the end who's a fool"", ""Seagull Give it all away Stay a bird Stay a man Stay a ghost Stay what you wanna be"", ""Mommy, where's Fluffy?"""
63,last caressgreen helll originally recorded by the misfits   ,
64,hardwired explicit   ,"""In the name of desperation In the name of wretched pain In the name of all creation Gone insane"", ""We're so fucked Shit outta luck Hardwired to self-destruct"", ""GO!"", ""On the way to paranoia On the crooked borderline On the way to great destroyer Doom design"", ""We're so fucked Shit outta luck Hardwired to self-destruct"", ""OH!"", ""Once upon a planet burning Once upon a flame Once upon a fear returning All in vain Do you feel that hope is fading? Do you comprehend? Do you feel it terminating? In the end"", ""We're so fucked Shit outta luck Hardwired to self-destruct Hardwired to self-destruct Self-destruct Self-destruct Self-destruct"""
65,moth into flame   ,"""Blacked out Pop queen, amphetamine The screams crashed into silence"", ""Tapped out Doused in the gasoline The high times going timeless"", ""Decadence Death of the innocence The pathway starts to spiral"", ""Infamy All for publicity Destruction going viral"", ""Light it up Ah, light it up Another hit erases all the pain Bulletproof Ah, kill the truth You're falling, but you think you're flying high High again"", ""Sold your soul Built a higher wall Yesterday Now you're thrown away"", ""Same rise and fall Who cares at all? Seduced by fame A moth into the flame"", ""Twisted Backstabbing wicked The delusion absolution"", ""Perjurer Fame is the murderer Seduce you into ruin"", ""Light it up Ah, light it up Another hit erases all the pain Bulletproof Ah, tell the truth You're falling, but you think you're flying high High again"", ""Sold your soul Built the higher wall Yesterday Now you're thrown away"", ""Same rise and fall Who cares at all? Seduced by fame A moth into the flame Burn"", ""Guarantee your name, you go and kill yourself The vultures feast around you still Overdose on shame and insecurity If one won't do that fistful will"", ""Death scene Black hearse the limousine A grave filled with seduction"", ""Vaccine Fame does the murdering She builds up for destruction"", ""So light it up Ah, light it up Another hit erases all the pain Bulletproof Ah, no excuse You're falling, but you think you're flying high High again"", ""Sold your soul Built the higher wall Yesterday Now you're thrown away"", ""Same rise and fall Who cares at all? Seduced by fame A moth into the flame"", ""Addicted to the Fame"""
66,fade to black   ,"""Life, it seems, will fade away Drifting further, every day Getting lost within myself Nothing matters, no one else"", ""I have lost the will to live Simply nothing more to give There is nothing more for me Need the end to set me free"", ""Things not what they used to be Missing one inside of me Deathly loss, this can't be real I cannot stand this hell I feel"", ""Emptiness is filling me To the point of agony Growing darkness, taking dawn I was me, but now he's gone"", ""No one but me Can save myself But it's too late Now I can't think Think why I should even try Yesterday seems as though It never existed Death greets me warm Now I will just say goodbye Bye..."""
67,crash course in brain surgery   ,
68,broken beat scarred   ,"""You rise, you fall, you're down then you rise again What don't kill you'll make you more strong You rise, you fall, you're down then you rise again What don't kill you'll make you more strong"", ""Rise, fall down, rise again What don't kill you'll make you more strong Rise, fall down, rise again What don't kill you'll make you more strong"", ""Through black days, through black nights Through pitch black insights"", ""Breaking your teeth on the hard life a-coming Show your scars Cutting your feet on the hard earth running Show your scars Breaking your life, broken, beat and scarred But we die hard!"", ""The dawn, the death, the fight to the final breath What don't kill you'll make you more strong The dawn, the death, the fight to the final breath What don't kill you'll make you more strong"", ""Dawn, death, fight, final breath What don't kill you'll make you more strong Dawn, death, fight, final breath What don't kill you'll make you more strong"", ""They scratch me, they scrape me They cut and rape me"", ""Breaking your teeth on the hard life a-coming Show your scars Cutting your feet on the hard earth running Show your scars Breaking your life, broken, beat and scarred But we die hard!"", ""Breaking your teeth on the hard life a-coming Show your scars Cutting your feet on the hard earth running Show your scars Braiding your soul in a hard luck story Show your scars Spilling your blood in a hot sun's foray Show your scars Breaking your life, broken, beat and scarred We die hard! We die hard! We die hard!"""
69,the unvorgiven   ,"""New blood joins this earth"", ""And quickly he's subdued Through constant pained disgrace The young boy learns their rules"", ""With time the child draws in"", ""This whipping boy done wrong Deprived of all his thoughts The young man struggles on and on he's known A vow unto his own That never from this day"", ""His will they'll take away What I've felt What I've known"", ""Never shined through in what I've shown Never be Never see Won't see what might have been"", ""What I've felt What I've known Never shined through in what I've shown Never free Never me So I dub the unforgiven"", ""They dedicate their lives To running all of his He tries to please them all"", ""This bitter man he is"", ""Throughout his life the same He's battled constantly This fight he cannot win"", ""A tired man they see no longer cares The old man then prepares To die regretfully"", ""That old man here is me What I've felt What I've known Never shined through in what I've shown"", ""Never be Never see"", ""Won't see what might have been What I've felt What I've known"", ""Never shined through in what I've shown Never free Never me So I dub the unforgiven Solo What I've felt What I've known Never shined through in what I've shown Never be Never see Won't see what might have been What I've felt What I've known Never shined through in what I've shown Never free Never me So I dub the unforgiven Never free Never me So I dub the unforgiven You labeled me I'll label you So I dub the unforgiven Never free Never me So I dub the unforgiven You labeled me I'll label you So I dub the unforgiven Never free Never me So I dub thee unforgiven..."""
70,the other new song   ,"""Woah yeah Woah oh Woah oh Woah oh The vultures come See the vultures come for me Fly around sun But now too late for me Just sit and stare Wait 'til I hit the ground Little vultures tear Little vultures tear at flesh Vulture is down to stay Pick the bone until you're clean Bone to bone and in between Pick the bone until you're clean Woah oh Woah oh Woah yeah Woah oh Woah oh woah (Solo) Right without soul I rummage high and low Search for my soul Search though I'm high above We leave behind Too late, too late again I just want to search the soul But my soul is flesh and bone again Vultures is down to stay Pick the bone until your clean Bone to bone and in between Pick the bone until your clean Woah oh Woah oh Woah yeah Woah woah Woah oh woah Vulturus Search on Vulturus Vulturus (solo) Vulturus Search on Vulturus Vulturus Search on Woah yeah Woah oh Woah yeah Woah oh Woah yeah Woah oh Woah yeah Woah oh Vulture is down to stay Pick the bone until your clean Bone to bone and in between Pick the bone until your clean Woah oh yeah Woah oh Woah yeah Woah oh yeah Woah oh woah! Vulturus!"""
71,loverman   ,"""There's a devil waiting outside your door (How much longer?) There's a devil waiting outside your door (How much longer?) And he's bucking, and braying, and pawing at the floor (How much longer?) And he's howling with pain, crawling up the walls (How much longer?)"", ""There's a devil waiting outside your door (How much longer?) And he's weak with evil, and broken by the world (How much longer?) And he's shouting your name, and asking for more"", ""(How much longer?) There's a devil waiting outside your door (How much longer?) Loverman, since the world began Forever, amen, till the end of time, yeah Take off that dress, ooh, I'm coming down, yeah I'm your loverman, yeah 'cause I am what I am What I am, what I am, what I am"", ""L is for love, baby O is for only you that I do V is for loving virtually everything that you are E is for loving almost everything that you do R is for rape me M is for murder me A is for answering all of my prayers N is for knowing your loverman's going"", ""To be the answer to all of yours Loverman, till the bitter end While the empires burn down Forever and ever, and ever, ever, amen I'm your loverman so help me, baby So help me, baby 'cause I am what I am What I am, what I am, what I am I'm your loverman There's a devil crawling along your floor"", ""(How much longer?) There's a devil crawling along your floor (How much longer?) With a trembling heart, he's coming through your door (How much longer?) With his straining sex in his jumping paw"", ""(How much longer?)"", ""Ooh, there's a devil crawling along your floor (How much longer?) And he's old, and he's stupid, and he's hungry, and he's sore And he's blind, and he's lame, and he's dirty, and he's poor Gimme more, gimme more, gimme more Gimme more, gimme more, gimme more (How much longer?) There's a devil crawling along your floor"", ""Loverman, ha ha, and here I stand Forever, amen 'cause I am what I am What I am, what I am, hey Forgive me, baby, my hands are tied And I got no choice, no, no, no, no I got no choice, no choice at all I'll say it again L is for love, baby"", ""O is for oh, yes I do V is for virtue, so I ain't gonna hurt you E is for even if you want me to R is for render unto me, baby M is for that which is mine"", ""A is for any old how, darling and N is for any old time Loverman, yeah, yeah, yeah I got a masterplan, yeah to take off your dress, yeah And be your man, be your man, yeah Seize the throne, ha, ha, seize the mantle Seize that crown, yeah, 'cause I am what I am What I am, what I am, plus I am I'm your loverman There's a devil laying by your side (How much longer?) There's a devil laying by your side (How much longer?)"", ""You might think he's asleep but take a look at his eyes (How much longer?) And he wants you, darling, to be his bride (How much longer?) Yeah, there's a devil laying by your side (How much longer?) Loverman, loverman, loverman I'll be your loverman till the end of the time Till the empires burn down forever, amen I'll be your loverman, I'll be your loverman I'm your loverman, I'm your loverman Yeah, I'm your loverman, I'm your loverman Loverman, I'm your loverman I'm your loverman, I'm your loverman Yeah, I'm your loverman, yes, I'm your loverman Loverman, loverman, loverman forever, amen Loverman (How much longer?)"""
73,the house that jack built   ,"""Open doors, so I walk inside Close my eyes, find my place to hide And I shake as I take it in Let the show begin"", ""Open my eyes, just to have them close again Well on my way, but on my way to where I've been It swallows me as it takes me in its fog I twist away as I give this world a nod"", ""Open doors, so I walk inside Close my eyes, find my place to hide And I shake as I take it in Let the show begin"", ""Open my eyes, just to have them close once again Don't want control as it takes me down and down and down again Is that the moon or just a light that lights this dead end street? Is that you there or just another demon that I meet?"", ""The higher you are, the farther you fall The longer the walk, the farther you crawl My body, my temple, this temple it tilts Step into the house that Jack built"", ""The higher you are, the farther you fall The longer the walk, the farther you crawl My body, my temple, this temple it tilts Yes, this is the house that Jack built, yeah"", ""Open doors, as I walk inside Swallow me so the pain subsides And I shake as I take this in Let the show begin"", ""Let the show begin Let the show begin"", ""The higher you are, the farther you fall The longer the walk, the farther you crawl My body, my temple, this temple it tilts Yes, this is the house that Jack built"", ""The higher you are, the farther you fall The longer the walk, the farther you crawl My body, my temple, this temple it tilts Yes, I am, I am, I am"", ""Open my eyes, it swallows me Is that you there? I twist away Away, away, away"""
