,Song_name,eric-clapton
77,behind the sun   ,"""by Eric Clapton"", ""My love has gone behind the sun; Since she left, the darkness has begun. The smile that used to shine on me Is nothing more than a memory."", ""I see her face, I hear her voice. She made her move, I had no choice But walk and cry, wipe tears with my hand, The one that carries a wedding band."", ""And the clouds hang low And the flowers that used to grow In my heart Are dying now, dying now."", ""Dying now."""
78,crazy country hop   ,"""by J. Otis"", ""Way down in a country town one day A little ole' country band began to play. They had two guitars and a beat-up saxophone; When the leader said go them cats began to blow. Ooh wee oh oh, ooh la la Let's rock and roll."", ""Now all the poeple gathered 'round Just to dig that rockin' rollin' sound. Suddenly the drummer rang a bell And all them country cats began to yell. Ooh wee oh oh, ooh la la Let's rock and roll."", ""Ole' MacDonald did a crazy bop Said it's time to milk my cow, I got to stop, But just before I cool it and cut out Here's something all you cats can think about. Ooh wee oh oh, ooh la la Let's rock and roll."", ""Snaggle-toothed Malinda was a drag, She latched onto a dude who showed up stag. He tried to run and then he tripped and fell; She kissed him and we all could hear him yell. Ooh wee oh oh, ooh la la Let's rock and roll."", ""Well, a hound dog ran a polecat into town, Brought him to the dance and laid him down. Someone hollered skunk and you can bet All them country cats is runnin' yet. Ooh wee oh oh, ooh la la Let's rock and roll."""
79,key to the highway   ,"""I got a key to the highway, Billed out and bound to go. I'm gonna leave here runnin'; Walking is most too slow."", ""I'm going back to the border Lil girl, where I'm better known. You know you haven't done nothin', Drove a good man away from home."", ""Live verse: When the moon peeks over the mountains Lil girl, I'll be on my way. I'm gonna roam this old highway Until the break of day."", ""Give me one more kiss darlin' Lil girl, just before I go, 'Cause when I leave this time, I won't be back no more."", ""I got a key to the highway, Billed out and bound to go. I'm gonna leave here runnin'; Walking is most too slow."""
80,needs his woman   ,"""by Eric Clapton"", ""You left him standing in the pouring rain. There's every chance he'll go insane. And someone comes along and takes his hand. He must have love, can't you understand that"", ""He needs his woman, He needs his woman, And he needs his woman, He needs his woman to love."", ""His hands are shaking and his head hangs down. No peace of mind for him is found. Break his heart and then you'll set him free. Someone must save him, just you wait and see, but"", ""Chorus"", ""What will it take till you believe his love is real? Nobody said he had to love you, now he always will."", ""He'll walk that lonely road again today. The love he gave you, you threw away. When all he wanted was a hand to hold. His lonely world has grown so cold and"", ""Chorus"", ""Chorus"""
81,grand illusion   ,"""I saw you in a dream, it hit me like a bright light Flashing on a screen, visions of my whole life. I used to chase the moment of desire Back to when my young heart burned like a fire."", ""It was just a, nothing but a grand illusion. Heart was quicker than the eye. Nothing but a grand illusion, Legend in my own mind."", ""I held you in my arms till the other side of midnight. Kept you in my mind, you got me through some long nights. Standing on the threshold of desire, Caught between the madness and the fire."", ""It was just a, nothing but a grand illusion. Heart was quicker than the eye. Nothing but a grand illusion, Legend in my own mind."", ""It was all a grand illusion. Hand was quicker than the eye. Nothing but a grand illusion, Legends in our own minds."", ""I used to chase the moments of desire Back to when my young heart burned like a fire."", ""It was just a, nothing but a, it was all a grand illusion. Nothing but a grand illusion. It was all a grand illusion, Legend in my own mind."", ""It was just a grand illusion. Nothing but a grand illusion. It was just a grand illusion, Legends in our own minds."""
82,i aint got you   ,"""I got a Maserati G.T. With snakeskin upholstery. I got a charge account at Goldblatt's, But I ain't got you."", ""I got a closet full of clothes, But no matter where it goes, It keeps a ring in the nose, But I ain't got you."", ""I got a tavern and a liquor store. I play the numbers, yeah, four forty-four. I got a mojo, yeah, don't you know, I'm all dressed up with no place to go."", ""I got women to the right of me. I got women to the left of me. I got women all around me, But I ain't got you. No, I ain't got you."", ""Third Fourth No I ain't got you."""
83,last fair deal gone down   ,"""It's the last fair deal goin' down, last fair deal goin' down It's the last fair deal goin' down, good Lord, on that Gulfport Island Road1"", ""Please, Ida Belle, don't cry this time Ida Belle, don't cry this time If you cry about a nickel, you'll die 'bout a dime She wouldn't cry, but the money won't2 mine"", ""I love the way you do, I love the way you do I love the way you do, good Lord, on this Gulfport Island Road1"", ""My captain's so mean on me, my captain's so mean on me My captain's so mean on me, good Lord, on this Gulfport Island Road"", "" Take camp tain he and see, camp ain't he and see At scal ain't be at seen3, good Lord, on that Gulfport Island Road"", ""Ah, this last fair deal goin' down, it's the last fair deal goin' down This' the last fair deal goin' down, good Lord, on this Gulfport Island Road1"", ""I'm workin' my way back home, I'm working my way back home I'm workin' my way back home, good Lord, on this Gulfport Island Road"", ""And that thing don't keep-a ringin' so soon That thing don't keep-a ringin' so soon And that thing don't keep-a ringin' so soon, good Lord, on that Gulfed-and-Port Island Road"""
84,change the world   ,"""If I could reach the stars, pull one down for you Shine it on my heart, so you could see the truth That this love I have inside is everything it seems But for now I find, it's only in my dreams"", ""And I can change the world I will be the sunlight in your universe You would think my love was really something good Baby if I could change the world"", ""If I could be king even for a day I'd take you as my queen I'd have it no other way And our love would rule this kingdom we had made"", ""'Til then I'd be a fool Wishing for the day That I can change the world I would be the sunlight in your universe"", ""You would think my love was really something good Baby if I could change the world Baby if I could change the world I could change the world"", ""I would be the sunlight in your universe You would think my love was really something good Baby if I could change the world Baby if I could change the world Baby if I could change the world"""
85,lovin you lovin me   ,"""I am so in love for once in my life. In my dreams, I've known you many times before. And I so want you to be my dear wife, As only you can satisfy me any more, And only you can love me more."", ""[Chorus:] I'm lovin' you lovin' me lovin' you. It's all the same; when loving, two together makes one. Everybody sing la, la la la, la la la, la la la. It's all the same, and we are one."", ""I will give you a world of your dreams if you want them. I can feel the power when you're standing there. Someone sent me you; oh lord, I will thank him, And all the rest, it just don't matter, And all the rest and all the rest."", ""[Chorus]"", ""Loving you. You know I love you."""
86,lonesome christmas   ,"""I'd love to spend this Christmas sitting by the fire with you Well, I'd love to spend this Christmas sitting by the fire with you I'm happy for the moment, sharin' the whole day with you Jingle bells are ringing, children playing out in the snow Jingle bells are ringing, children playing out in the snow There be turkey on the table, presents everywhere you go"", ""Everyone seems so happy, seasons greetings in the air Everyone seems so happy, seasons greetings in the air Santa Claus is spreadin' presents, spreadin' presents everywhere"", ""I won't be home to help you decorate your Christmas tree Well, I know I won't be with you decorate your Christmas tree Well, I'll be thinking about you baby, and I hope you thinkin' 'bout me"""
87,epiphany at the bistro   ,
88,jingle bells   ,
89,cajun moon   ,"""Cajun moon, where does your power lie As you move across the southern sky You took my babe way too soon What have you done, Cajun moon"", ""Someday babe, when you want your man And you find him gone, just like the wind Don't trouble your mind whatever you do 'Cause Cajun moon took him from you"", ""Cajun moon, where does your power lie As you move across the southern sky You took my babe way too soon What have you done, Cajun moon"", ""When daylight fades, the night comes on You can hear the silence of this song Don't trouble your mind whatever you do 'Cause he got me like he got you"", ""Cajun moon, where does your power lie As you move across the southern sky You took my babe way too soon What have you done, Cajun moon"""
90,let it rain   ,"""The rain is falling through the mist of sorrow that surrounded me The sun could never thaw away the the bliss that lays around me"", ""Let it rain, let it rain Let your love rain down on me Let it rain, let it rain Let it rain, rain, rain"", ""Her life was like a desert flower burning in the sun Until I found the way to love, it's harder said than done"", ""Let it rain, let it rain Let your love rain down on me Let it rain, let it rain Let it rain, rain, rain"", ""Now I know the secret, there is nothing that I lack If I give my love to you, you'll surely give it back"", ""Let it rain, let it rain Let your love rain down on me Let it rain, let it rain Let it rain, rain, rain"", ""Let it rain, let it rain Let your love rain down on me Let it rain, let it rain Let it rain, rain, rain"""
91,forever man   ,"""How many times must I tell you, babe? How many bridges I've got to cross? How many times must I explain myself? Before I can talk to the boss 'Fore I can talk to the boss"", ""How many times must I say I love you Before you finally understand? Won't you be my forever woman? I'll try to be your forever man (Forever man) Try to be your forever man"", ""How many times must I say I love you Before you finally understand? Won't you be my forever woman? I'll try to be your forever man Try to be your forever man (Forever man)"", ""'Rever man, 'rever man, 'rever man (Forever man) 'Rever man, 'rever man, 'rever man Try to be your forever man 'Rever man, 'rever man, 'rever man (Forever man) 'Rever man, 'rever man, 'rever man (Forever man) 'Rever man, 'rever man, 'rever man (Forever man) Try to be your forever man"""
92,hungry   ,"""by Dick Simms and Marcy Levy"", ""Last night as I stepped into the stage lights, I heard the people cry when they saw my face. There's nothing like our hearts beating in time. The crowd may inspire, but you give me my strength."", ""Oh, hungry, I'm hungry, I'm hungry for your sweet smile. Lonely, I'm lonely, I'm lonely, I need to hold you for a while."", ""I've been slipping into desperation; You're the only salvation that the Lord designed. Your absence is controlling my defenses. My life is senseless without you by my side."", ""Chorus"", ""Chorus"", ""Loose ladies on the road will drive you crazy. Every \""no\"" becomes a \""maybe\"", it never takes too long. Missing you, I don't know what I'm gonna do. You don't know what I'm going through; everything seems wrong."", ""Chorus"""
93,im tore down   ,"""I'm tore down, I'm almost level with the ground. I'm tore down, I'm almost level with the ground. Well, I feel like this when my baby can't be found."", ""I went to the river to jump in. My baby showed up and said, \""i will tell you when.\"""", ""Well, I'm tore down, I'm almost level with the ground. Well, I feel like this when my baby can't be found."", ""I love you babe with all my heart and soul; Love like mine will never grow old. Love you in the morning and in the evening too. Every time you leave me I get mad with you."", ""Chorus"", ""I love you baby with all my might; Love like mine is out of sight. I'll lie for you if you want me to. I really don't believe that your love is true."", ""Chorus"", ""I'm tore down, I'm almost level with the ground. Well, I'm tore down, I'm almost level with the ground. Well, I feel like this when my baby can't be found."""
94,mean old world   ,"""(by Walter Jacobs)"", ""This is a mean old world, try and live it by yourself. This is a mean old world, try and live it by yourself. Can't get the one you love, have to use somebody else."", ""I've got the blues, gonna pack my things and go. I've got the blues, gonna pack my things and go. Guess you don't love me, babe, loving mister so-and-so."", ""Sometimes I wonder why can your love be so cold? Sometimes I wonder why can your love be so cold? I guess you don't love me, gonna pack my things and go."""
95,everything i love is in this bed   ,
96,cant find my way home   ,"""Come down off your throne and leave your body alone Somebody must change You are the reason I've been waiting so long Somebody holds the key"", ""But I'm near the end and I just ain't got the time, oh no And I'm wasted and I can't find my way home"", ""Come down on your own and leave your body at home Somebody must change You are the reason I've been waiting all these years Somebody holds the key"", ""But I'm near the end and I just ain't got the time, oh no And I'm wasted and I can't find my way home"", ""But I'm near the end and I just ain't got the time, oh no Oh no, and I'm wasted and I can't find my way home"", ""But I can't find my way home Still I can't find my way home"", ""And I ain't done nothing wrong Still I can't find my way home And I ain't done nothing wrong Still I can't find my way home No I can't find my way home No I can't find my way home"""
97,next time you see her   ,"""She's got everything a man could ever ask for She is lovely, brighter than a morning star She is so beautiful, portrait of a sunset She got everything, including my old car"", ""Next time you see her, tell her that I love her Next time you see her, tell her that I care Next time you see her, tell her that I love her Next time I see you, boy you'd better beware"", ""I'm just trying to warn you that you're bound to get hurt I couldn't be her last love, so how could you be her first? I want to tell you, buddy, things are bound to get rough I know that she's only flirting, but I think that I've had enough"", ""Next time you see her, tell her that I love her Next time you see her, tell her that I care Next time you see her, tell her that I love her Next time I see you, boy you'd better beware"", ""And if you see her again, I will surely kill you And if you see her again, I will surely kill you"", ""Next time you see her, tell her that I love her Next time you see her, tell her that I care Next time you see her, tell her that I love her Next time I see you, boy you'd better beware"", ""And if you see her again, I will surely kill you And if you see her again, I will surely kill you"", ""Next time you see her, tell her that I love her Next time you see her, tell her that I care Next time you see her, tell her that I love her Next time I see you, boy you'd better beware"""
98,hear my train a comin   ,
99,hold on   ,"""Deep down in the dead of night, I call out your name It seems now that nothing is right, there's nothing but pain If only I'd told you I love you, now all I can do is"", ""Hold on, hold on to the feeling You've got to hold on, hold on to the feeling I don't feel right on this sad night Lord, I've got thistles growing in my pillow"", ""If you could believe in me, then I could be strong And then we could set our love free and right all these wrongs You'll know when I touch you how much you still mean to me, baby"", ""Hold on, hold on to the feeling You've got to hold on, hold on to the feeling I don't feel right on this sad night Lord, I've got thistles growing in my pillow Hold on, hold on"", ""Just give me one more chance Please give me one more chance Don't tell me our romance is through"", ""Hold on, hold on to the feeling You've got to hold on, hold on to the feeling I don't feel right on this sad night Lord, I've got thistles growing in my pillow"", ""Hold on, hold on to the feeling Hold on, hold on to the feeling You've got to hold on, hold on to the feeling Hold on, hold on to the feeling Hold on to the feeling"", ""Hold on, hold on to the feeling You've got to hold on, hold on to the feeling Hold on, hold on to the feeling"""
100,georgia on my mind   ,"""Georgia, Georgia, The whole day through Just an old sweet song Keeps Georgia on my mind"", ""I say Georgia Georgia A song of you Comes as sweet and clear As moonlight through the pines"", ""Other arms reach out to me Other eyes smile tenderly Still in peaceful dreams I see The road leads back to you"", ""I said Georgia, Ooh Georgia, no peace I find, yeah It's just an old sweet song Keeps Georgia on my mind"", ""Other arms reach out to me Other eyes smile tenderly Still in peaceful dreams I see The road leads back to you"", ""Georgia, Oh, Georgia, No peace I find It' just an old, sweet song Keeps Georgia on my mind"", ""It' just an old, sweet song Keeps Georgia on my mind."""
101,i want to love you baby   ,
102,i looked away   ,
103,going down slow   ,"""(by St. Louis Jimmy)"", ""I have had my fun if I never get well no more. I have had my fun if I never get well no more. All of my health is failing; Lord, I'm going down slow,"", ""I'm going down slow. Please write my mother and tell her the shape I'm in. Please write my mother and tell her the shape I'm in. Tell her to pray for me, Forgive me for my sin, For all of my sin."", ""On the next train south, look for my clothes back home. On the next train south, look for my clothes back home. 'Cause all of my health is failing; Lord, I'm going down slow, I'm going down slow."", ""All of my health is failing; Lord, I'm going down slow, I'm going down slow."", ""Feel like I'm going, like I'm going down slow. I feel like I'm going, like I'm going down slow. I feel like I'm going, like I'm going down slow. I feel like I'm going, like I'm going down slow. I feel like I'm going, like I'm going down slow."""
104,me and the devil blues   ,"""(Robert Johnson)"", ""Early this morning, You knocked upon my door, Early this morning, You knocked upon my door, And I said, \""Hello, Satan, I believe it's time to go.\"""", ""Me and the devil Were walking side by side. Me and the devil Were walking side by side. I'm gonna beat my woman Until I get satisfied."", ""She said she don't see why, That I will dog her 'round. (Now baby, you know you ain't doing me right.) She said she don't see why, That I will dog her 'round. Well, it must be that old evil spirit So deep down in the ground."", ""You may bury my body Down by the highway side. (I don't care where you bury my body when I'm dead and gone.) You may bury my body Down by the highway side. Oh, my old evil spirit Can take a Greyhound bus and ride."""
106,layla   ,"""What will you do when you get lonely? No one waiting by your side You've been running and hiding much too long You know it's just your foolish pride"", ""Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"", ""Tried to give you consolation Your old man had let you down Like a fool I fell in love with you You turned my whole world upside down"", ""Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"", ""Make the best of the situation For I finally go insane Please don't say we'll never find a way Tell me all my love's in vain"", ""Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"", ""(yeah, yeah, yeah, yeah)"", ""Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"", ""(yeah, yeah, yeah, yeah) Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind? Layla Got me on my knees Layla Begging darling please Layla Darling won't you ease my worried mind?"""
107,its in the way you use it   ,"""It's in the way that you use it It comes and it goes It's in the way that you use it Boy don't you know"", ""And if you lie you will lose it Feelings will show So don't you ever abuse it Don't let it go"", ""Nobody's right till somebody's wrong Nobody's weak till somebody's strong No one gets lucky till luck comes along Nobody's lonely till somebody's gone"", ""It's in the way that you use it It comes and it goes It's in the way that you use it But boy don't you know"", ""It's in the way that you use it It comes and it goes It's in the way that you use it And boy don't you know"", ""And if you lie you will lose it Feelings will show So don't you ever abuse it Don't let it go"", ""I've seen dark skies never like this Walked on some thin ice never like this I've told you white lies never like this Looked into true eyes never like this"", ""It's in the way that you use it Boy don't you know So don't you ever abuse it And don't let it go"""
108,anything for your love   ,"""by Jerry Lynn Williams"", ""God's got a plan, he's making it clear Sweet little love song in your ear Like hearts made of diamond, love will prevail Put a little wind in your sail"", ""I'd do anything, anything you can dream of I'd do anything, anything for your love For your love For your love"", ""Listen now baby, I'll tell you true Just how much that I love you I got a sweet feelin' I know is real This kind of love you can't conceal"", ""Chorus"", ""Chorus"""
109,merry christmas baby   ,"""Merry Christmas baby You sure do treat me nice Merry Christmas baby You sure do treat me nice Bought me a high five of Christmas Now I'm living in paradise"", ""I'm feelin' mighty fine I've got music on my radio Feelin' mighty fine Got good music on my radio I wanna hug and kiss you Underneath the mistletoe"", ""Santa came down the chimney At half past three Left all his presents Here for you and me"", ""Merry Christmas baby You sure been good to me You know I love you baby And I'm happy as a man can be"""
110,glad   ,"""I'm so Glad, I'm so Glad I'm Glad I'm Glad, I'm Glad I'm so Glad I'm so Glad I'm Glad I'm Glad I'm Glad"", ""Don't know what to do, I don't know what to do I don't know what to do Tired of Weepin, Tired of Moanin I'm Tired of Groaning for you."", "" I'm so Glad I'm so Glad I'm Glad I'm Glad i'm Glad I'm so Glad I'm so Glad I'm Glad i'm Glad I'm Glad"", ""Guitar Solo"", ""I'm so Glad I'm so Glad I'm Glad i'm Glad I'm Glad I'm so Glad i'm so Glad i'm Glad I'm Glad i'm Glad"""
112,country bikin   ,
113,doing that scrapyard thing   ,"""By jack bruce and pete brown"", ""When I was young they gave me a mongrel piano, Spent all my time inventing the cup of tea. Writing your name in the sea, Banging my favorite head."", ""Missing the last bed, waving the cheery herring, Balancing brass bands on the tip of my toe. Phoning your home from a tree, Drinking my favorite loch."", ""When I was old they gave me a model factory, I met three salads out on the motorway. Leaving your name at the door, Breaking my favorite egg."", ""Missing the walrus, sharing my last banana, Balancing zeppelins on the end of my nose. Calling your name in the zoo, Blowing my favorite mind."""
114,bridge   ,
115,midnight rider   ,
116,lonely years   ,"""Face is turning white From the salt of all my tears. Face is turning white From the salt of all my tears. Lost everything I had, I got to face five lonely years."", ""Everybody got a trouble; I got to live with mine right now. Everybody got a trouble; I got to live with mine right now. I'm gonna take a little walk now, people, And I'll try to get along somehow."", ""I'll be leaving right now, people; I got to stop now and figure out my time. I got to get a bus, people; I got to stop now and figure out my time. I believe with a feeling, I got to move on down the line."""
117,everyday will be like a holiday   ,"""Every day will be like a holiday When my baby When my baby comes home"", ""She's been gone Such a long time Ever since she's been gone She's been on my mind I got a letter Just about noon She said don't you worry darling I'll be home soon"", ""Every day will be like a holiday When my baby When my baby comes home"", ""I never have to worry I am Sitting by the phone When she gets here I'll never be alone She said she'll get here sometime today I know when she gets here She'll never go away"", ""Every day will be like a holiday When my baby When my baby comes home Every day will be like a holiday When my baby When my baby comes home Every day will be like a holiday When my baby When my baby comes home Every day will be like a holiday Every day will be like a holiday Every day will be like a holiday Every day will be like a holiday Every day will be like a holiday Every day will be like a holiday (Every day will be like a holiday)"""
118,party   ,
119,its in the way that you use it   ,"""It's in the way that you use it, It comes and it goes. It's in the way that you use it, Boy don't you know."", ""And if you lie you will lose it, Feelings will show. So don't you ever abuse it, Don't let it go."", ""Nobody's right till somebody's wrong. Nobody's weak till somebody's strong. No one gets lucky till luck comes along. Nobody's lonely till somebody's gone."", ""It's in the way that you use it, It comes and it goes. It's in the way that you use it, Boy don't you know."", ""It's in the way that you use it, It comes and it goes. It's in the way that you use it, Boy don't you know."", ""And if you lie you will lose it, Feelings will show. So don't you ever abuse it, Don't let it go."", ""I've seen dark skies, never like this. Walked on some thin ice, never like this. I've told you white lies, never like this. Looked into true eyes, never like this."", ""It's in the way that you use it, Boy don't you know. So don't you ever abuse it, Don't let it go."""
120,nobody knows you when youu2019re down and out   ,"""Once I lived the life of a millionaire, Spent all my money, I just did not care. Took all my friends out for a good time, Bought bootleg whiskey, champagne and wine."", ""Then I began to fall so low, Lost all my good friends, I did not have nowhere to go. I get my hands on a dollar again, I'm gonna hang on to it till that eagle grins."", ""'Cause no, no, nobody knows you When you're down and out. In your pocket, not one penny, And as for friends, you don't have any."", ""When you finally get back up on your feet again, Everybody wants to be your old long-lost friend. Said it's mighty strange, without a doubt, Nobody knows you when you're down and out."", ""When you finally get back upon your feet again, Everybody wants to be your good old long-lost friend. Said it's mighty strange, Nobody knows you, Nobody knows you, Nobody knows you when you're down and out."""
121,i hate the kirbys   ,
122,ill make love to you anytime   ,"""by J. J. Cale"", ""Well I can't read and I can't write And I don't know my left from right."", ""I can't tell if the sun's gonna shine And I don't know if you'll ever be mine, But I'll make love to you any old time at all."", ""I can't swim and I can't fly, I ain't no fish, ain't a bird in the sky."", ""Chorus"", ""I can't count from one to ten, And I don't know the shape I'm in."", ""Chorus"""
123,gin house blues   ,
124,opposites   ,"""Night after day, day after night. White after black, black after white. Fight after peace, peace after fight. Life after death, death after life."", ""Twice"""
125,cant let you do it   ,"""Well you got some high class baby Steppin' all over me With your high tone And your blue line Respectability You go down on the corner Havin' yourself a ball Changed your way of livin' And I don't know you at all"", ""I can't let you do it I can't let you do it to me I know you're gonna do it But I can't let you do it to me"", ""If the sun don't shine no more And the blue sky don't appear If the rainfall don't fall no more I really don't think you'd care You got so wrapped up baby In everything you do Been putting on the dog You know And I mean you"", ""I can't let you do it I can't let you do it to me I know you're gonna do it But I can't let you do it to me"", ""If you don't shut down Miss banquet If you don't shut down Real soon Gonna find yourself Out on the street Looking for another room You're seen me on the corner Having myself a ball Gonna change my way of living And you won't know me at all"", ""I can't let you do it I can't let you do it to me I know you're gonna do it But I can't let you do it to me"""
126,pictures on a wall   ,
127,cause weve ended as lovers   ,"""Sneaking kisses in the hall Parting love notes are on the wall Been each other's all and all each day Lovers walking in the rain So close we felt each other's pain But now you say that love has died away 'Cause we've ended now as lovers Doesn't mean that we each other can't be friends 'Cause we've ended now as lovers Does our love for one another have to end I remember teaching you"", ""On piano 'Tea for Two' And how playing it wrong I kissed your hand But when our love has gone and passed Why does the good exceed the bad Well that's one thing I'll never understand 'Cause I remember us at class You were always the one to pass And gave me answers right to see me through But that was more than years ago And who will love me I don't know It's sad for sure but true it won't be you"""
128,i get lost   ,
129,back home   ,"""Back Home Lyrics"", ""I've been on the road too long Moving in the wrong direction I don't know where I belong I don't know what I will do, if I can't get back home Troubles I've got on my own They don't fit no other person Memories keep rollin' on I don't know what I will do, if I can't get back home"", ""I don't fit, but I don't give a damn I won't quit, cause I know who I am And I'll admit that I've been on the lam"", ""Bit by bit, I'll review my plan This is it, do the best I can Trust and understand"", ""'Cause that I know I'm loved I'll be on my way Got no need to stay 'round here 'Cause I been on this road too long Going in the wrong direction And I don't know where I come from All I know is I will die, if I don't get back home"""
130,lonesome a long way from home   ,"""(by bonnie bramlett and leon russell)"", ""Out on an open highway, Such a lovely day but something's wrong. Something, something's gotta be wrong."", ""I just left home this morning, This old road keeps rolling on and on. Rolling, rolling on and on."", ""Won't somebody help me? Won't somebody help me? Won't somebody help me? I've never been so lonesome and long way from home, Never been lonesome and long way, Never been lonesome and long way from home."", ""Chorus"""
131,meet me   ,"""Put it in your pocket, leave it in your shoe. Plug it in your socket, flush it down the loo. Hey baby, show me something new."", ""Put it in your hat, put it in your can. Feed it to your cat, share it with your band. Hey baby, help me understand."", ""Well they're fighting in the kitchen and they're fighting in the hall. Up against the dark and up against the wall. Why don't you meet me in the bottom, baby; bring your running shoes."""
133,i want a little girl   ,"""I want a little girl, call my own. She must be someone who's all alone now. Say, I want a little girl to fall in love with me, oh yeah."", ""I want a little girl, but she may not look Just like a picture in a story book. If she can cook chicken, yeah, she'll suit me to a T."", ""And she don't have to wave her hair Or even wear fancy clothes, I wouldn't even care. She don't wear nylon hose, oh."", ""I want a little girl to love a lot. You know that I'd give her everything I got. I want a little girl to fall in love with me."""
134,if i had possession over   ,
135,gotta get over   ,"""Verse 1: Can you feel a wind blowing Got me talking to myself One more day, one more truth, got to find out where Feel the blow of the river taking me there Good Lord only get you so far, Then you got to help yourself I don't need no reason, reason to hang my head"", ""Chorus: Cause I gotta get over Get on over to the good side Lord I gotta get over Get over, you get a lil' closer I gotta get over Getting closer to the good side Gotta get over Getting over, over"", ""Verse 2: I've been breaking like the waves upon the sand You know I need some fortitude, gonna keep it close at hand And I gotta shake it if I'm gonna break it on down the line Ain't nobody can help me if I stay helpless all the time"", ""Chorus: I gotta get over Get on over to the good side Gotta get over Help me get a little closer I gotta get over Getting closer to the good side Lord I gotta get over, Getting over, over"""
136,great big old house   ,
137,belief   ,
138,blues before sunrise   ,"""I have the blues before sunrise, tears standing in my eyes I have the blues before sunrise, tears standing in my eyes It was a miserable feeling, now babe, a feeling I do despise"", ""I have to leave, leave you baby, because you know you done me wrong I have to leave you baby, because you know you done me wrong I'm gonna pack up and leave you darling and break up my happy home"", ""I have to leave, leave you baby, I'm gonna leave you all alone I'm gonna leave you baby, I'm gonna leave you all alone I'm gonna pack up and leave you darling because you know you done me wrong"", ""Well now goodbye, goodbye baby, I'll see you on some rainy day Well now goodbye baby, I'll see you on some rainy day You can go ahead now little darling, 'cause I want you to have your way"""
139,diamonds made from rain   ,"""The moment's come and gone Every memory leaves a trace All that I've come to know In the lines upon my face"", ""Every storm that I have turned Each forgiveness I have earned Every shame that's taught me grace From you I have learned"", ""No love is lost No love is lost"", ""That everything is shown to me I let it wash over me Like diamonds made of rain You can find joy inside the pain"", ""Everything that I've endured For the wisdom of a pearl I wouldn't change a thing You can make diamonds from the rain"", ""Every mile of this road Every chord that's struck my soul You are the melody That will soothe me 'til I'm old"", ""If the promises are kept I'll waive all of my regrets I can say I've overcome With you, my heart is open"", ""No love was lost No love was lost"", ""That everything is shown to me I let it wash over me Like diamonds made of rain You can find joy inside the pain"", ""Everything that I've endured For the wisdom of a pearl I wouldn't change a thing You can make diamonds from the rain"""
140,lady in red   ,"""I never seen you looking so lovely as you did tonight I never seen you shine so bright...mm hmm I never seen so many men ask you if you wanted to dance Looking for a little romance Given half the chance"", ""I have never seen that dress you're wearing Or the highlights in your hair...they catch my eye I have been blind"", ""Lady in red is dancing with me...cheek to cheek There's nobody here It's just you and me It's where I wanna be I hardly know This beauty by my side I'll never forget the way you look tonight"", ""I've never seen you looking so gorgeous as you did tonight I've never seen you shine so bright You're amazing I never seen so many people want to be there by your side And when you turn to me and smile You took my breath away I have never had such a feeling Such a feeling of complete and utter love As i do tonite"", ""Lady in red is dancing with me...cheek to cheek There's nobody here It's just you and me It's where I wanna be And I hardly know This beauty by my side I'll never forget the way you look tonight"", ""I never will forget The way you look tonight Lady in red... Lady in red... Lady in red... Lady in red..."""
141,family bed   ,
142,3220 blues   ,"""If I send for my baby, man, and she don't come Send for my baby, man, and she don't come All the doctors in Hot Springs sure can't help her none"", ""If she gets unruly, thinks she don't wanna do She gets unruly, thinks she don't wanna do Take my 32-20, boy, cut her half in two"", ""She got a. 38 special but I believe it's most too light . 38 Special but I believe it's most too light I got a 32-20 to make the camps all right"", ""If I send for my baby, man, and she don't come Send for my baby, man, and she don't come Them doctors in Hot Springs sure can't help her none"", ""Gonna shoot my pistol, gonna shoot my gatling gun Gonna shoot my pistol, gotta shoot my gatling gun You made me love you, now your man have come"", ""Ow, baby, where you stay last night? Ow, baby, where'd you stay last night? You got your hair all tangled and you ain't talking right"", ""Got a. 38 special, boy, it do very well Got a. 38 special and it do very well Got a 32-20 now, it's a burning hell"", ""If I send for my baby, man, and she don't come I send for my baby, man, and she don't come All the doctors in West Point sure can't help her none"", ""Ow, baby, where'd you stay last night? Ow, baby, where'd you stay last night? You didn't come home till the sun was shining bright"", ""Ow, boy, I just can't take my rest Ow, boy, I just can't take my rest With this 32-20 laying up and down my breast"""
